pretprocesiranje,odlike,model,macroF1_sr,macroF1_std,tacnost,hiperparametri,vreme_s
lower+stem,REC+CHAR,LogRegresija,0.69336886273549,0.03443056332637072,0.6937051119560625,"{""clf__C"": 1}",68.6
sirovo,REC+CHAR,LinearSVM,0.693078177250755,0.0350666131329115,0.6937051119560625,"{""clf__C"": 0.1}",67.7
lower,REC+CHAR,LinearSVM,0.693078177250755,0.0350666131329115,0.6937051119560625,"{""clf__C"": 0.1}",67.0
sirovo,REC+CHAR,LogRegresija,0.6904485128783344,0.03309179395132614,0.6911702577101817,"{""clf__C"": 1}",71.1
lower,REC+CHAR,LogRegresija,0.6904485128783344,0.03309179395132614,0.6911702577101817,"{""clf__C"": 1}",69.4
lower+stem,REC+CHAR,LinearSVM,0.6869960857763503,0.035266177419544,0.6873679763413604,"{""clf__C"": 0.1}",62.7
lower+lema,REC+CHAR,LogRegresija,0.6850767248110534,0.02739348060262943,0.6856780735107731,"{""clf__C"": 1}",75.3
lower+lema,REC+CHAR,LinearSVM,0.684378899678127,0.03321107708724503,0.6848331220954795,"{""clf__C"": 0.1}",67.2
lower+stem,TFIDF_1-2,LogRegresija,0.680573982162046,0.03243579506553035,0.6810308407266582,"{""clf__C"": 10}",18.0
lower+stem,TFIDF_1-2,LinearSVM,0.678829879634171,0.03367578783312317,0.6789184621884242,"{""clf__C"": 1}",19.1
sirovo,TFIDF_1-2,LinearSVM,0.6780681981782364,0.028913753173669104,0.6784959864807774,"{""clf__C"": 1}",18.2
lower,TFIDF_1-2,LinearSVM,0.6780681981782364,0.028913753173669104,0.6784959864807774,"{""clf__C"": 1}",18.8
lower,TFIDF_1-2,LogRegresija,0.6775748446238644,0.03435692545445376,0.6780735107731305,"{""clf__C"": 10}",18.0
sirovo,TFIDF_1-2,LogRegresija,0.6775748446238644,0.03435692545445376,0.6780735107731305,"{""clf__C"": 10}",17.9
lower+stem,TFIDF_1-3,LogRegresija,0.6750102395347013,0.03580670668812177,0.6755386565272496,"{""clf__C"": 10}",19.2
lower,CHAR_3-5,LinearSVM,0.6737492760873336,0.028604677587429555,0.6742712294043093,"{""clf__C"": 0.1}",60.0
sirovo,CHAR_3-5,LinearSVM,0.6737492760873336,0.028604677587429555,0.6742712294043093,"{""clf__C"": 0.1}",60.8
