konfiguracija,macroF1,razlika,p_vrednost,znacajno_p<0.05
sirovo | REC+CHAR | LinearSVM,0.6931,0.0003,0.7695,False
lower | REC+CHAR | LinearSVM,0.6931,0.0003,0.7695,False
sirovo | REC+CHAR | LogRegresija,0.6904,0.0029,0.4316,False
lower | REC+CHAR | LogRegresija,0.6904,0.0029,0.4316,False
lower+stem | REC+CHAR | LinearSVM,0.687,0.0064,0.1602,False
lower+lema | REC+CHAR | LogRegresija,0.6851,0.0083,0.084,False
lower+lema | REC+CHAR | LinearSVM,0.6844,0.009,0.1602,False
lower+stem | TFIDF_1-2 | LogRegresija,0.6806,0.0128,0.1934,False
lower+stem | TFIDF_1-2 | LinearSVM,0.6788,0.0145,0.1309,False
sirovo | TFIDF_1-2 | LinearSVM,0.6781,0.0153,0.1055,False
lower | TFIDF_1-2 | LinearSVM,0.6781,0.0153,0.1055,False
sirovo | TFIDF_1-2 | LogRegresija,0.6776,0.0158,0.084,False
lower | TFIDF_1-2 | LogRegresija,0.6776,0.0158,0.084,False
lower+stem | TFIDF_1-3 | LogRegresija,0.675,0.0184,0.0488,True
sirovo | CHAR_3-5 | LinearSVM,0.6737,0.0196,0.0371,True
lower | CHAR_3-5 | LinearSVM,0.6737,0.0196,0.0371,True
lower+stem | TFIDF_1-3 | LinearSVM,0.6715,0.0219,0.0273,True
sirovo | CHAR_3-5 | LogRegresija,0.6695,0.0239,0.002,True
lower | CHAR_3-5 | LogRegresija,0.6695,0.0239,0.002,True
lower+stem | CHAR_3-5 | LogRegresija,0.6681,0.0253,0.002,True
lower+lema | TFIDF_1-2 | LogRegresija,0.6677,0.0256,0.0645,False
lower+stem | IDF | LogRegresija,0.6676,0.0258,0.0059,True
lower+lema | CHAR_3-5 | LogRegresija,0.6665,0.0268,0.002,True
sirovo | TFIDF_1-3 | LinearSVM,0.666,0.0274,0.0098,True
lower | TFIDF_1-3 | LinearSVM,0.666,0.0274,0.0098,True
lower+lema | CHAR_3-5 | LinearSVM,0.6659,0.0274,0.0039,True
lower+stem | TFIDF | LogRegresija,0.6651,0.0283,0.0059,True
lower+lema | TFIDF | LogRegresija,0.6649,0.0284,0.0195,True
sirovo | IDF | LogRegresija,0.6647,0.0286,0.0137,True
lower | IDF | LogRegresija,0.6647,0.0286,0.0137,True
sirovo | TFIDF | LogRegresija,0.664,0.0294,0.002,True
lower | TFIDF | LogRegresija,0.664,0.0294,0.002,True
lower+stem | IDF | LinearSVM,0.6639,0.0295,0.002,True
lower+lema | TFIDF | LinearSVM,0.6633,0.0301,0.0098,True
lower+stem | TFIDF | LinearSVM,0.6617,0.0317,0.0098,True
lower+stem | CHAR_3-5 | LinearSVM,0.6611,0.0323,0.002,True
sirovo | TFIDF | LinearSVM,0.661,0.0324,0.0488,True
lower | TFIDF | LinearSVM,0.661,0.0324,0.0488,True
lower+lema | IDF | LogRegresija,0.6603,0.033,0.0098,True
