pretprocesiranje,odlike,model,cv_macroF1_sr,cv_macroF1_std,test_macroF1,test_tacnost,hiperparametri,vreme_s
lower+stem,REC+CHAR,LogRegresija,0.6635838003944753,0.017047267998433507,0.6225720844517161,0.6280701754385964,"{""clf__C"": 1}",57.5
lower+lema,REC+CHAR,LogRegresija,0.6612892027040544,0.019301882925360756,0.6243835629355133,0.6280701754385964,"{""clf__C"": 1}",59.4
lower+lema,REC+CHAR,LinearSVM,0.659391511309567,0.01438991685588545,0.627225030297656,0.631578947368421,"{""clf__C"": 0.1}",55.2
lower,REC+CHAR,LinearSVM,0.6569371132935719,0.016667354897164578,0.6291740938799762,0.6350877192982456,"{""clf__C"": 0.1}",36.3
lower,REC+CHAR,LogRegresija,0.6562459855746143,0.014421770647947215,0.6427518015753311,0.6491228070175439,"{""clf__C"": 1}",78.2
lower+stem,REC+CHAR,LinearSVM,0.6561843586800489,0.01454791133367099,0.6248033748033748,0.631578947368421,"{""clf__C"": 0.1}",54.9
lower+lema,CHAR_3-5,LogRegresija,0.6553185612162906,0.016700189205997893,0.6246397235238835,0.6280701754385964,"{""clf__C"": 1}",67.3
lower+stem,TFIDF_1-2,LogRegresija,0.6509335479696964,0.014078783264425843,0.6241510011613938,0.624561403508772,"{""clf__C"": 10}",43.1
lower+stem,CHAR_3-5,LogRegresija,0.650838891536488,0.010048812268406499,0.6290083005679336,0.6350877192982456,"{""clf__C"": 1}",66.4
lower+lema,TFIDF_1-2,LogRegresija,0.6508019394344176,0.021688115178478233,0.6146076472547061,0.6175438596491228,"{""clf__C"": 10}",48.6
lower,CHAR_3-5,LogRegresija,0.649648261342966,0.01372498867228526,0.6260927750451912,0.631578947368421,"{""clf__C"": 1}",77.6
lower+lema,CHAR_3-5,LinearSVM,0.6491831416978485,0.015214183823501313,0.6274344136823949,0.631578947368421,"{""clf__C"": 0.1}",70.6
lower+stem,CHAR_3-5,LinearSVM,0.6484129692896474,0.008507087164613729,0.6317318753874607,0.6385964912280702,"{""clf__C"": 0.1}",66.6
lower,TFIDF_1-2,LogRegresija,0.6478120906847985,0.01559492584416294,0.6013622965030011,0.6035087719298246,"{""clf__C"": 10}",67.9
lower,CHAR_3-5,LinearSVM,0.6477966912262655,0.00876318768944019,0.639848260643474,0.6456140350877193,"{""clf__C"": 0.1}",77.1
lower,TFIDF_1-2,LinearSVM,0.64727907156263,0.02216370551749807,0.6176157204416659,0.6210526315789474,"{""clf__C"": 1}",70.2
lower+stem,TFIDF_1-2,LinearSVM,0.646557940763884,0.010539851235084559,0.6319444444444444,0.631578947368421,"{""clf__C"": 1}",53.2
lower,IDF,LinearSVM,0.6446642582637058,0.023493111983827735,0.6531524092217734,0.6596491228070176,"{""clf__C"": 0.1}",16.2
lower+lema,TFIDF_1-2,LinearSVM,0.6444414254933974,0.021730492897863996,0.6334480822285701,0.6350877192982456,"{""clf__C"": 1}",51.8
lower,TFIDF,LogRegresija,0.6443445633242646,0.018877196238591853,0.6227545874487292,0.6280701754385964,"{""clf__C"": 1}",16.7
lower,IDF,LogRegresija,0.6438341646442136,0.02765211095358054,0.6472005674790314,0.6526315789473685,"{""clf__C"": 1}",16.4
lower,TFIDF,LinearSVM,0.6417789748577954,0.014748017623415413,0.6189616188058008,0.624561403508772,"{""clf__C"": 0.1}",16.5
lower+stem,TFIDF,LogRegresija,0.640607786299382,0.021748336619801308,0.6250572736414989,0.6280701754385964,"{""clf__C"": 1}",25.7
lower+lema,TFIDF,LinearSVM,0.6402570088478846,0.01299956559710497,0.5913553831032194,0.5964912280701754,"{""clf__C"": 0.1}",35.2
lower+stem,IDF,LogRegresija,0.6401658629899789,0.014216683470590208,0.6324193117380171,0.6350877192982456,"{""clf__C"": 1}",26.2
lower+stem,IDF,LinearSVM,0.639693378524361,0.017944414549237505,0.6635250468951902,0.6666666666666666,"{""clf__C"": 0.1}",25.6
lower+stem,TFIDF_1-3,LinearSVM,0.6396554904988598,0.014644749442727714,0.6354589890235363,0.6350877192982456,"{""clf__C"": 1}",63.1
lower+stem,TFIDF_1-3,LogRegresija,0.6388280957531461,0.02246547027473602,0.6244176426237994,0.624561403508772,"{""clf__C"": 10}",65.4
lower+lema,TFIDF,LogRegresija,0.6384601147758509,0.014621909708249307,0.6000219587176109,0.6035087719298246,"{""clf__C"": 1}",27.4
lower+stem,TFIDF,LinearSVM,0.6383956133482069,0.017059247393851566,0.6197298327244043,0.624561403508772,"{""clf__C"": 0.1}",23.2
lower+lema,TFIDF_1-2,MultinomialNB,0.638348147538826,0.02434731876779993,0.6219159650503373,0.624561403508772,"{""clf__alpha"": 0.1}",45.0
lower+lema,TFIDF_1-3,LogRegresija,0.638304792471015,0.019925098631230376,0.6084047923128383,0.6105263157894737,"{""clf__C"": 10}",59.7
lower+lema,IDF,LogRegresija,0.6377739955655036,0.01940365444619859,0.6247770727785543,0.6280701754385964,"{""clf__C"": 1}",32.2
lower,REC+CHAR,MultinomialNB,0.6368462243146549,0.01518363552355464,0.6191073324843168,0.624561403508772,"{""clf__alpha"": 0.01}",76.9
lower+lema,IDF,LinearSVM,0.6363940322056203,0.026102096440506158,0.6084600836418849,0.6140350877192983,"{""clf__C"": 0.1}",31.3
lower,TFIDF_1-2,MultinomialNB,0.6360908332812414,0.01560003778487934,0.6262508122157244,0.631578947368421,"{""clf__alpha"": 0.1}",17.8
lower+stem,TFIDF_1-2,MultinomialNB,0.6349963490687427,0.02044960798649756,0.6196539205008192,0.624561403508772,"{""clf__alpha"": 0.1}",44.0
lower,TFIDF_1-3,LogRegresija,0.6340830353510565,0.01554968941396503,0.6197667103405428,0.6210526315789474,"{""clf__C"": 10}",70.3
lower+lema,REC+CHAR,MultinomialNB,0.6340605383502178,0.022791322596259624,0.6082263293889817,0.6105263157894737,"{""clf__alpha"": 0.1}",64.4
lower+stem,REC+CHAR,MultinomialNB,0.6337554037436798,0.01813429099465007,0.603460509010643,0.6070175438596491,"{""clf__alpha"": 0.1}",69.6
lower+lema,TFIDF_1-3,LinearSVM,0.6323995526415903,0.020057813657806414,0.6093804870227634,0.6105263157894737,"{""clf__C"": 1}",59.2
lower,TFIDF_1-3,LinearSVM,0.6316555911259526,0.019507808288143393,0.5998401445649152,0.6070175438596491,"{""clf__C"": 0.1}",69.9
lower+stem,TFIDF_1-3,MultinomialNB,0.6293495217450948,0.01654784837406339,0.6011739397670451,0.6035087719298246,"{""clf__alpha"": 0.01}",58.8
lower+lema,IDF,MultinomialNB,0.6277449337715012,0.020323438198651785,0.6283966818450123,0.631578947368421,"{""clf__alpha"": 0.5}",32.2
lower+lema,TFIDF,MultinomialNB,0.626635401874915,0.021528261713902097,0.6151609383524277,0.6175438596491228,"{""clf__alpha"": 0.5}",32.0
lower,TFIDF_1-3,MultinomialNB,0.6245298049733764,0.019669812222696984,0.5937621832358674,0.6,"{""clf__alpha"": 0.1}",70.0
lower+lema,TFIDF_1-3,MultinomialNB,0.6221317153773552,0.019518181381973056,0.6126789649206271,0.6175438596491228,"{""clf__alpha"": 0.1}",58.5
lower,TFIDF,MultinomialNB,0.6219587096249779,0.013504220890968303,0.6201262272089761,0.6210526315789474,"{""clf__alpha"": 0.5}",17.3
lower,IDF,MultinomialNB,0.6214915818851031,0.0163263767037223,0.6241321157301805,0.624561403508772,"{""clf__alpha"": 0.5}",15.9
lower+stem,TFIDF,MultinomialNB,0.6209536614553697,0.021875396478718622,0.6368725541740953,0.6385964912280702,"{""clf__alpha"": 0.1}",25.5
lower+stem,IDF,MultinomialNB,0.6205184686130638,0.020043514637018287,0.6372812026439684,0.6385964912280702,"{""clf__alpha"": 0.5}",27.9
lower,CHAR_3-5,MultinomialNB,0.619965122988676,0.012036574800604195,0.5959020879049276,0.6,"{""clf__alpha"": 0.1}",73.1
lower+stem,CHAR_3-5,MultinomialNB,0.6198832685801433,0.015732685492921113,0.612102866986588,0.6175438596491228,"{""clf__alpha"": 0.01}",65.0
lower+stem,TF,LogRegresija,0.618695504694127,0.01993970078512223,0.6131456070135316,0.6175438596491228,"{""clf__C"": 0.1}",30.5
lower+lema,CHAR_3-5,MultinomialNB,0.6179143355893506,0.017204580117780435,0.5970890481184418,0.6,"{""clf__alpha"": 0.5}",63.9
lower+stem,TF,LinearSVM,0.615644639688427,0.022953545749043076,0.6167486049682155,0.6210526315789474,"{""clf__C"": 0.01}",31.3
lower,TF,MultinomialNB,0.615063352486282,0.020644657088179103,0.6035125588697018,0.6035087719298246,"{""clf__alpha"": 1.0}",15.9
lower,TF,LinearSVM,0.6139643585785568,0.02337386317629519,0.6212860840292652,0.624561403508772,"{""clf__C"": 0.01}",17.2
lower,TF,LogRegresija,0.6139452770297713,0.024764730784603714,0.6066674464387857,0.6105263157894737,"{""clf__C"": 0.1}",16.9
lower+lema,TF,MultinomialNB,0.6128291889646178,0.0203251275853419,0.6133875580684092,0.6140350877192983,"{""clf__alpha"": 1.0}",38.8
lower+lema,TF,LogRegresija,0.611529740913476,0.01404971414411307,0.5603226252806456,0.5649122807017544,"{""clf__C"": 0.1}",34.9
lower+lema,TF,LinearSVM,0.6113670323197873,0.024589395367352457,0.5661893661893662,0.5719298245614035,"{""clf__C"": 0.01}",34.4
lower+stem,TF,MultinomialNB,0.6075624204383516,0.01846208184825691,0.6217611624672595,0.6210526315789474,"{""clf__alpha"": 1.0}",28.0
lower,TF,Vecinski,0.17145608058584766,0.0002794547749630684,0.171875,0.3473684210526316,{},2.9
lower+stem,TF,Vecinski,0.17145608058584766,0.0002794547749630684,0.171875,0.3473684210526316,{},7.8
lower+lema,TF,Vecinski,0.17145608058584766,0.0002794547749630684,0.171875,0.3473684210526316,{},12.0
