konfiguracija,cv_macroF1,razlika,p_vrednost,znacajno_p<0.05
lower+lema | REC+CHAR | LogRegresija,0.6613,0.0023,0.8125,False
lower+lema | REC+CHAR | LinearSVM,0.6594,0.0042,0.4375,False
lower | REC+CHAR | LinearSVM,0.6569,0.0066,0.3125,False
lower | REC+CHAR | LogRegresija,0.6562,0.0073,0.0625,False
lower+stem | REC+CHAR | LinearSVM,0.6562,0.0074,0.125,False
lower+lema | CHAR_3-5 | LogRegresija,0.6553,0.0083,0.4375,False
lower+stem | TFIDF_1-2 | LogRegresija,0.6509,0.0127,0.0625,False
lower+stem | CHAR_3-5 | LogRegresija,0.6508,0.0127,0.0625,False
lower+lema | TFIDF_1-2 | LogRegresija,0.6508,0.0128,0.125,False
lower | CHAR_3-5 | LogRegresija,0.6496,0.0139,0.0625,False
lower+lema | CHAR_3-5 | LinearSVM,0.6492,0.0144,0.1875,False
lower+stem | CHAR_3-5 | LinearSVM,0.6484,0.0152,0.0625,False
lower | TFIDF_1-2 | LogRegresija,0.6478,0.0158,0.0625,False
lower | CHAR_3-5 | LinearSVM,0.6478,0.0158,0.125,False
lower | TFIDF_1-2 | LinearSVM,0.6473,0.0163,0.125,False
lower+stem | TFIDF_1-2 | LinearSVM,0.6466,0.017,0.125,False
lower | IDF | LinearSVM,0.6447,0.0189,0.0625,False
lower+lema | TFIDF_1-2 | LinearSVM,0.6444,0.0191,0.0625,False
lower | TFIDF | LogRegresija,0.6443,0.0192,0.0625,False
lower | IDF | LogRegresija,0.6438,0.0197,0.0625,False
lower | TFIDF | LinearSVM,0.6418,0.0218,0.0625,False
lower+stem | TFIDF | LogRegresija,0.6406,0.023,0.0625,False
lower+lema | TFIDF | LinearSVM,0.6403,0.0233,0.0625,False
lower+stem | IDF | LogRegresija,0.6402,0.0234,0.0625,False
lower+stem | IDF | LinearSVM,0.6397,0.0239,0.0625,False
lower+stem | TFIDF_1-3 | LinearSVM,0.6397,0.0239,0.125,False
lower+stem | TFIDF_1-3 | LogRegresija,0.6388,0.0248,0.0625,False
lower+lema | TFIDF | LogRegresija,0.6385,0.0251,0.0625,False
lower+stem | TFIDF | LinearSVM,0.6384,0.0252,0.0625,False
lower+lema | TFIDF_1-2 | MultinomialNB,0.6383,0.0252,0.125,False
lower+lema | TFIDF_1-3 | LogRegresija,0.6383,0.0253,0.0625,False
lower+lema | IDF | LogRegresija,0.6378,0.0258,0.0625,False
lower | REC+CHAR | MultinomialNB,0.6368,0.0267,0.0625,False
lower+lema | IDF | LinearSVM,0.6364,0.0272,0.0625,False
lower | TFIDF_1-2 | MultinomialNB,0.6361,0.0275,0.0625,False
lower+stem | TFIDF_1-2 | MultinomialNB,0.635,0.0286,0.0625,False
lower | TFIDF_1-3 | LogRegresija,0.6341,0.0295,0.0625,False
lower+lema | REC+CHAR | MultinomialNB,0.6341,0.0295,0.125,False
lower+stem | REC+CHAR | MultinomialNB,0.6338,0.0298,0.0625,False
lower+lema | TFIDF_1-3 | LinearSVM,0.6324,0.0312,0.0625,False
lower | TFIDF_1-3 | LinearSVM,0.6317,0.0319,0.0625,False
lower+stem | TFIDF_1-3 | MultinomialNB,0.6293,0.0342,0.0625,False
lower+lema | IDF | MultinomialNB,0.6277,0.0358,0.0625,False
lower+lema | TFIDF | MultinomialNB,0.6266,0.0369,0.0625,False
lower | TFIDF_1-3 | MultinomialNB,0.6245,0.0391,0.0625,False
lower+lema | TFIDF_1-3 | MultinomialNB,0.6221,0.0415,0.0625,False
lower | TFIDF | MultinomialNB,0.622,0.0416,0.0625,False
lower | IDF | MultinomialNB,0.6215,0.0421,0.0625,False
lower+stem | TFIDF | MultinomialNB,0.621,0.0426,0.0625,False
lower+stem | IDF | MultinomialNB,0.6205,0.0431,0.0625,False
lower | CHAR_3-5 | MultinomialNB,0.62,0.0436,0.0625,False
lower+stem | CHAR_3-5 | MultinomialNB,0.6199,0.0437,0.0625,False
lower+stem | TF | LogRegresija,0.6187,0.0449,0.0625,False
lower+lema | CHAR_3-5 | MultinomialNB,0.6179,0.0457,0.0625,False
lower+stem | TF | LinearSVM,0.6156,0.0479,0.0625,False
lower | TF | MultinomialNB,0.6151,0.0485,0.0625,False
lower | TF | LinearSVM,0.614,0.0496,0.0625,False
lower | TF | LogRegresija,0.6139,0.0496,0.0625,False
lower+lema | TF | MultinomialNB,0.6128,0.0508,0.0625,False
lower+lema | TF | LogRegresija,0.6115,0.0521,0.0625,False
lower+lema | TF | LinearSVM,0.6114,0.0522,0.0625,False
lower+stem | TF | MultinomialNB,0.6076,0.056,0.0625,False
lower | TF | Vecinski,0.1715,0.4921,0.0625,False
lower+stem | TF | Vecinski,0.1715,0.4921,0.0625,False
lower+lema | TF | Vecinski,0.1715,0.4921,0.0625,False
