model,epohe,macroF1_sr,macroF1_std,tacnost
xlm-roberta-base,1,0.6707116290462312,0.036182504819833546,0.6753782668500687
xlm-roberta-base,2,0.7542580373981027,0.033859779801087585,0.7585969738651994
xlm-roberta-base,3,0.7773401980865111,0.029719077904096444,0.781292984869326
xlm-roberta-base,4,0.7944876475743594,0.025614024378852025,0.7953920220082531
xlm-roberta-base,5,0.8002940272377959,0.024789589630048802,0.8012379642365888
bert-base-multilingual-cased,1,0.6014278519771175,0.043523407752202,0.6127922971114168
bert-base-multilingual-cased,2,0.6800366495608865,0.025752802013832697,0.6819119669876204
bert-base-multilingual-cased,3,0.7046717428267711,0.020006348242540207,0.7066712517193948
bert-base-multilingual-cased,4,0.7162028802468261,0.01714693543189476,0.7162998624484181
bert-base-multilingual-cased,5,0.7212592143441156,0.018405201883152263,0.7218019257221459
