model,epohe,macroF1_sr,macroF1_std,tacnost
classla/bcms-bertic,1,0.7803412757390182,0.02798225350401705,0.7816368638239339
classla/bcms-bertic,2,0.7979036097509037,0.033706618771106554,0.8005502063273727
classla/bcms-bertic,3,0.8175698777886883,0.029935377432072825,0.8184319119669876
classla/bcms-bertic,4,0.816608300716377,0.028930965122545955,0.8170563961485557
classla/bcms-bertic,5,0.8227806090157348,0.024604095996220276,0.8232462173314993
xlm-roberta-base,1,0.6599675782361963,0.03895109460707733,0.6664374140302614
xlm-roberta-base,2,0.7470673198462654,0.02180592664806029,0.7530949105914718
xlm-roberta-base,3,0.7752947010768965,0.024192244691628624,0.7788858321870702
xlm-roberta-base,4,0.789319615483515,0.026636994394704783,0.7898899587345255
xlm-roberta-base,5,0.7922330550749135,0.0191583755910788,0.7933287482806052
bert-base-multilingual-cased,1,0.6140014275535048,0.04950271335450476,0.6237964236588721
bert-base-multilingual-cased,2,0.6844436005673987,0.026065084042023123,0.6860385144429161
bert-base-multilingual-cased,3,0.6997654993715106,0.018042173653503323,0.702200825309491
bert-base-multilingual-cased,4,0.698112849772247,0.0257838893212304,0.6991059147180193
bert-base-multilingual-cased,5,0.710194995903922,0.020679494388356368,0.7107977991746905
