pretprocesiranje,odlike,model,cv_macroF1_sr,cv_macroF1_std,test_macroF1,test_tacnost,hiperparametri,vreme_s
lower+stem,REC+CHAR,LogRegresija,0.6537672718297575,0.012320468719410732,0.679160115412412,0.6804123711340206,"{""clf__C"": 1}",48.3
lower+lema,REC+CHAR,LogRegresija,0.6499266221623311,0.01973643595269137,0.7038809144072302,0.7044673539518901,"{""clf__C"": 1}",56.0
lower,REC+CHAR,LinearSVM,0.6492648724585582,0.013623518027124443,0.680941768808551,0.6804123711340206,"{""clf__C"": 1}",81.2
lower+lema,REC+CHAR,LinearSVM,0.6474327415657183,0.018951743797555428,0.7030533363331436,0.7044673539518901,"{""clf__C"": 0.1}",72.0
lower,CHAR_3-5,LinearSVM,0.6471456747626144,0.012831770172747056,0.7126220123263293,0.711340206185567,"{""clf__C"": 1}",63.0
lower,REC+CHAR,LogRegresija,0.6464821652355148,0.019523291164774824,0.6801762870914033,0.6804123711340206,"{""clf__C"": 10}",62.7
lower+stem,REC+CHAR,LinearSVM,0.6462285333677762,0.013971404395600094,0.6893020009229684,0.6907216494845361,"{""clf__C"": 0.1}",59.2
lower,CHAR_3-5,LogRegresija,0.6447779975579483,0.008667223232881917,0.70943423028532,0.7079037800687286,"{""clf__C"": 10}",44.9
lower+stem,CHAR_3-5,LogRegresija,0.6419743336247089,0.015826864060106513,0.6666112634318504,0.6666666666666666,"{""clf__C"": 1}",38.7
lower+lema,TFIDF_1-2,LogRegresija,0.6415428206843663,0.007827534510461117,0.7043494711648451,0.7044673539518901,"{""clf__C"": 10}",11.9
lower+lema,IDF,LogRegresija,0.6415118808122431,0.010019309101507758,0.6553831225400331,0.6563573883161512,"{""clf__C"": 1}",16.3
lower+lema,TFIDF_1-3,LogRegresija,0.6393003777122976,0.00922668745867194,0.6833885924657284,0.6838487972508591,"{""clf__C"": 10}",23.9
lower+stem,IDF,LogRegresija,0.6390168845496561,0.015306081858646733,0.6630573570498477,0.6632302405498282,"{""clf__C"": 1}",20.4
lower+lema,CHAR_3-5,LogRegresija,0.6371299294030363,0.007970105260303268,0.690761808031377,0.6907216494845361,"{""clf__C"": 10}",49.2
lower+lema,TFIDF_1-2,LinearSVM,0.6365042060305648,0.007942716659027581,0.7180520681908286,0.718213058419244,"{""clf__C"": 1}",12.8
lower+stem,TFIDF,LogRegresija,0.6363031730134949,0.01761577943153962,0.6509312061874183,0.6529209621993127,"{""clf__C"": 1}",7.6
lower+lema,TFIDF,LogRegresija,0.6345998588165072,0.016016276898345522,0.6648042801029391,0.6666666666666666,"{""clf__C"": 1}",5.4
lower+lema,IDF,LinearSVM,0.6344176118212097,0.018203794481246795,0.633211431667344,0.6357388316151202,"{""clf__C"": 0.1}",7.4
lower+stem,CHAR_3-5,LinearSVM,0.6339218814056007,0.01972980909286301,0.655644056254463,0.6563573883161512,"{""clf__C"": 0.1}",50.0
lower+lema,CHAR_3-5,LinearSVM,0.6338450047988978,0.02749720337012958,0.6591004007670674,0.6597938144329897,"{""clf__C"": 0.1}",55.9
lower+stem,TFIDF_1-2,LinearSVM,0.6336164744141702,0.010698423661732842,0.670643953764828,0.6701030927835051,"{""clf__C"": 1}",11.1
lower+stem,REC+CHAR,MultinomialNB,0.6335513204543897,0.02052591015675247,0.6493590590722875,0.6494845360824743,"{""clf__alpha"": 0.01}",53.0
lower+stem,TFIDF_1-2,LogRegresija,0.6324642850498112,0.009089326437442037,0.67031096898735,0.6701030927835051,"{""clf__C"": 10}",10.4
lower+lema,TFIDF,LinearSVM,0.6324309378752997,0.017310207885826004,0.6563144381087201,0.6597938144329897,"{""clf__C"": 0.1}",6.1
lower+stem,TFIDF_1-3,LinearSVM,0.6324066908972756,0.01150461652800769,0.6704144620811286,0.6701030927835051,"{""clf__C"": 1}",32.5
lower+stem,TFIDF,LinearSVM,0.6318812510124359,0.022911866214378167,0.6468316382681024,0.6494845360824743,"{""clf__C"": 0.1}",8.9
lower,REC+CHAR,MultinomialNB,0.631617376949617,0.02326150088879449,0.6359625222076118,0.6357388316151202,"{""clf__alpha"": 0.1}",65.2
lower+stem,TFIDF_1-3,LogRegresija,0.6310163419059931,0.008893848821438273,0.6903586950337769,0.6907216494845361,"{""clf__C"": 10}",28.6
lower+lema,TFIDF_1-3,LinearSVM,0.6309639508518636,0.01183176607188818,0.694332420505052,0.6941580756013745,"{""clf__C"": 1}",24.1
lower+stem,IDF,LinearSVM,0.6278531912862254,0.025095675008262278,0.6451612903225806,0.6460481099656358,"{""clf__C"": 0.1}",7.9
lower+stem,TFIDF_1-2,MultinomialNB,0.627561718737284,0.014315600368487157,0.645342974306002,0.6460481099656358,"{""clf__alpha"": 0.1}",9.7
lower+lema,REC+CHAR,MultinomialNB,0.6250495815839979,0.027152336390297342,0.6496322106078204,0.6494845360824743,"{""clf__alpha"": 0.1}",60.7
lower+lema,TFIDF_1-3,MultinomialNB,0.6249802120985481,0.026894586733020497,0.6535662207424034,0.6563573883161512,"{""clf__alpha"": 0.1}",16.6
lower+stem,TFIDF_1-3,MultinomialNB,0.6241285102011828,0.024535024539919296,0.6585952059636271,0.6597938144329897,"{""clf__alpha"": 0.1}",12.6
lower+lema,TFIDF_1-2,MultinomialNB,0.6240854341440736,0.029901014565636614,0.6387752711945341,0.6391752577319587,"{""clf__alpha"": 0.5}",10.9
lower+stem,TFIDF,MultinomialNB,0.6221495325397683,0.021335111535123377,0.6429287504475475,0.6426116838487973,"{""clf__alpha"": 0.5}",5.3
lower,CHAR_3-5,MultinomialNB,0.6206704487774154,0.021002351881010663,0.6562000091411856,0.6563573883161512,"{""clf__alpha"": 0.01}",42.0
lower+stem,IDF,MultinomialNB,0.6183126256836748,0.022590686826150584,0.6496437220585459,0.6494845360824743,"{""clf__alpha"": 0.5}",26.2
lower,TFIDF_1-2,LogRegresija,0.6174469065923158,0.02452137212857954,0.6975326522013904,0.697594501718213,"{""clf__C"": 100}",10.4
lower+stem,CHAR_3-5,MultinomialNB,0.61634934372182,0.019119928746251864,0.6285986529678359,0.6288659793814433,"{""clf__alpha"": 0.01}",36.8
lower,IDF,LogRegresija,0.616266901694986,0.029622900918657193,0.669103151104086,0.6701030927835051,"{""clf__C"": 1}",11.3
lower+lema,IDF,MultinomialNB,0.6160467689687613,0.030425635395760466,0.6319791017947283,0.6323024054982818,"{""clf__alpha"": 1.0}",31.6
lower,TFIDF_1-2,MultinomialNB,0.615673621509529,0.021666919757112563,0.6737685782308208,0.6735395189003437,"{""clf__alpha"": 0.01}",9.5
lower+lema,TFIDF,MultinomialNB,0.6154384776458143,0.0276319990381941,0.6187071907800922,0.6185567010309279,"{""clf__alpha"": 2.0}",6.2
lower,TFIDF_1-2,LinearSVM,0.6152480041480777,0.02503760154922685,0.6769509857405732,0.6769759450171822,"{""clf__C"": 1}",12.6
lower,IDF,LinearSVM,0.6152314581175602,0.028390594524915335,0.6725668460222236,0.6735395189003437,"{""clf__C"": 0.1}",8.1
lower+stem,TF,MultinomialNB,0.6146857130740786,0.015803740544543407,0.6564929826507734,0.6563573883161512,"{""clf__alpha"": 0.5}",58.2
lower,TFIDF,LogRegresija,0.6137457371780533,0.028464219151558934,0.6521125349008029,0.6529209621993127,"{""clf__C"": 1}",7.8
lower,TFIDF_1-3,LinearSVM,0.6133517979757757,0.019851846268814578,0.6802879333796179,0.6804123711340206,"{""clf__C"": 1}",30.9
lower,TFIDF_1-3,LogRegresija,0.6129585627861422,0.01756374615312312,0.663225886907748,0.6632302405498282,"{""clf__C"": 10}",31.2
lower+lema,CHAR_3-5,MultinomialNB,0.6128520945929814,0.02057660245595727,0.6319105919867033,0.6323024054982818,"{""clf__alpha"": 0.01}",44.1
lower,TFIDF,LinearSVM,0.6114660035038204,0.025723335061331995,0.6526561632755609,0.6529209621993127,"{""clf__C"": 1}",9.3
