konfiguracija,cv_macroF1,razlika,p_vrednost,znacajno_p<0.05
lower+lema | REC+CHAR | LogRegresija,0.6499,0.0038,0.625,False
lower | REC+CHAR | LinearSVM,0.6493,0.0045,0.625,False
lower+lema | REC+CHAR | LinearSVM,0.6474,0.0063,0.8125,False
lower | CHAR_3-5 | LinearSVM,0.6471,0.0066,0.3125,False
lower | REC+CHAR | LogRegresija,0.6465,0.0073,0.3125,False
lower+stem | REC+CHAR | LinearSVM,0.6462,0.0075,0.0625,False
lower | CHAR_3-5 | LogRegresija,0.6448,0.009,0.0625,False
lower+stem | CHAR_3-5 | LogRegresija,0.642,0.0118,0.1875,False
lower+lema | TFIDF_1-2 | LogRegresija,0.6415,0.0122,0.125,False
lower+lema | IDF | LogRegresija,0.6415,0.0123,0.1875,False
lower+lema | TFIDF_1-3 | LogRegresija,0.6393,0.0145,0.1875,False
lower+stem | IDF | LogRegresija,0.639,0.0148,0.1875,False
lower+lema | CHAR_3-5 | LogRegresija,0.6371,0.0166,0.0625,False
lower+lema | TFIDF_1-2 | LinearSVM,0.6365,0.0173,0.0625,False
lower+stem | TFIDF | LogRegresija,0.6363,0.0175,0.1875,False
lower+lema | TFIDF | LogRegresija,0.6346,0.0192,0.3125,False
lower+lema | IDF | LinearSVM,0.6344,0.0193,0.1875,False
lower+stem | CHAR_3-5 | LinearSVM,0.6339,0.0198,0.0625,False
lower+lema | CHAR_3-5 | LinearSVM,0.6338,0.0199,0.0625,False
lower+stem | TFIDF_1-2 | LinearSVM,0.6336,0.0202,0.0625,False
lower+stem | REC+CHAR | MultinomialNB,0.6336,0.0202,0.3125,False
lower+stem | TFIDF_1-2 | LogRegresija,0.6325,0.0213,0.125,False
lower+lema | TFIDF | LinearSVM,0.6324,0.0213,0.125,False
lower+stem | TFIDF_1-3 | LinearSVM,0.6324,0.0214,0.0625,False
lower+stem | TFIDF | LinearSVM,0.6319,0.0219,0.1875,False
lower | REC+CHAR | MultinomialNB,0.6316,0.0221,0.125,False
lower+stem | TFIDF_1-3 | LogRegresija,0.631,0.0228,0.0625,False
lower+lema | TFIDF_1-3 | LinearSVM,0.631,0.0228,0.0625,False
lower+stem | IDF | LinearSVM,0.6279,0.0259,0.125,False
lower+stem | TFIDF_1-2 | MultinomialNB,0.6276,0.0262,0.125,False
lower+lema | REC+CHAR | MultinomialNB,0.625,0.0287,0.1875,False
lower+lema | TFIDF_1-3 | MultinomialNB,0.625,0.0288,0.1875,False
lower+stem | TFIDF_1-3 | MultinomialNB,0.6241,0.0296,0.0625,False
lower+lema | TFIDF_1-2 | MultinomialNB,0.6241,0.0297,0.125,False
lower+stem | TFIDF | MultinomialNB,0.6221,0.0316,0.125,False
lower | CHAR_3-5 | MultinomialNB,0.6207,0.0331,0.0625,False
lower+stem | IDF | MultinomialNB,0.6183,0.0355,0.125,False
lower | TFIDF_1-2 | LogRegresija,0.6174,0.0363,0.0625,False
lower+stem | CHAR_3-5 | MultinomialNB,0.6163,0.0374,0.0625,False
lower | IDF | LogRegresija,0.6163,0.0375,0.0625,False
lower+lema | IDF | MultinomialNB,0.616,0.0377,0.125,False
lower | TFIDF_1-2 | MultinomialNB,0.6157,0.0381,0.0625,False
lower+lema | TFIDF | MultinomialNB,0.6154,0.0383,0.125,False
lower | TFIDF_1-2 | LinearSVM,0.6152,0.0385,0.0625,False
lower | IDF | LinearSVM,0.6152,0.0385,0.0625,False
lower+stem | TF | MultinomialNB,0.6147,0.0391,0.125,False
lower | TFIDF | LogRegresija,0.6137,0.04,0.0625,False
lower | TFIDF_1-3 | LinearSVM,0.6134,0.0404,0.0625,False
lower | TFIDF_1-3 | LogRegresija,0.613,0.0408,0.0625,False
lower+lema | CHAR_3-5 | MultinomialNB,0.6129,0.0409,0.0625,False
lower | TFIDF | LinearSVM,0.6115,0.0423,0.0625,False
lower | TFIDF | MultinomialNB,0.611,0.0428,0.0625,False
lower+stem | TF | LinearSVM,0.609,0.0448,0.0625,False
lower+stem | TF | LogRegresija,0.6085,0.0453,0.0625,False
lower | TF | MultinomialNB,0.6074,0.0464,0.0625,False
lower+lema | TF | MultinomialNB,0.6068,0.047,0.125,False
lower | IDF | MultinomialNB,0.6068,0.047,0.0625,False
lower | TFIDF_1-3 | MultinomialNB,0.6065,0.0473,0.0625,False
lower+lema | TF | LinearSVM,0.6013,0.0525,0.0625,False
lower+lema | TF | LogRegresija,0.6009,0.0529,0.0625,False
lower | TF | LogRegresija,0.5966,0.0572,0.0625,False
lower | TF | LinearSVM,0.5929,0.0608,0.0625,False
lower | TF | Vecinski,0.1702,0.4836,0.0625,False
lower+stem | TF | Vecinski,0.1702,0.4836,0.0625,False
lower+lema | TF | Vecinski,0.1702,0.4836,0.0625,False
