pretprocesiranje,odlike,model,cv_macroF1_sr,cv_macroF1_std,test_macroF1,test_tacnost,hiperparametri,vreme_s
lower,CHAR_3-5,LogRegresija,0.6585471472690521,0.024636768778689925,0.70943423028532,0.7079037800687286,"{""clf__C"": 10}",78.3
lower+stem,REC+CHAR,LogRegresija,0.6583656245507545,0.019341125347801323,0.679160115412412,0.6804123711340206,"{""clf__C"": 1}",93.0
lower,CHAR_3-5,LinearSVM,0.6564543020663922,0.023309039674267215,0.7126220123263293,0.711340206185567,"{""clf__C"": 1}",109.8
lower+lema,REC+CHAR,LogRegresija,0.6560410819116742,0.02006981314206889,0.707300861857265,0.7079037800687286,"{""clf__C"": 10}",117.2
lower,REC+CHAR,LogRegresija,0.655976916503521,0.03329732673869579,0.6801762870914033,0.6804123711340206,"{""clf__C"": 10}",119.6
lower+stem,REC+CHAR,LinearSVM,0.6537635336084477,0.023983993283854158,0.6893020009229684,0.6907216494845361,"{""clf__C"": 0.1}",125.4
lower+lema,REC+CHAR,LinearSVM,0.6523891072582889,0.022808794304704484,0.7030533363331436,0.7044673539518901,"{""clf__C"": 0.1}",153.3
lower+lema,TFIDF_1-2,LogRegresija,0.6503886202309245,0.030365166295437295,0.7043494711648451,0.7044673539518901,"{""clf__C"": 10}",24.8
lower+stem,CHAR_3-5,LogRegresija,0.6476618444002863,0.02118773702845902,0.6666112634318504,0.6666666666666666,"{""clf__C"": 1}",70.4
lower+lema,TFIDF_1-2,LinearSVM,0.6464128963426861,0.024980536182811805,0.7180520681908286,0.718213058419244,"{""clf__C"": 1}",34.6
lower,REC+CHAR,LinearSVM,0.6463220717466432,0.0291394176328694,0.680941768808551,0.6804123711340206,"{""clf__C"": 1}",160.1
lower+lema,TFIDF_1-3,LogRegresija,0.6437349619238993,0.025662967056769702,0.6833885924657284,0.6838487972508591,"{""clf__C"": 10}",45.4
lower+stem,IDF,LogRegresija,0.6425976828645902,0.026112867189884304,0.6630573570498477,0.6632302405498282,"{""clf__C"": 1}",52.8
lower+lema,CHAR_3-5,LogRegresija,0.6418740863394751,0.01074832971425528,0.6727381558964516,0.6735395189003437,"{""clf__C"": 1}",77.7
lower+stem,TFIDF_1-2,MultinomialNB,0.6416677605767227,0.041641360010107854,0.645342974306002,0.6460481099656358,"{""clf__alpha"": 0.1}",17.2
lower+stem,TFIDF_1-2,LogRegresija,0.6413969706849406,0.027184973625406953,0.6638631674761744,0.6666666666666666,"{""clf__C"": 1}",19.5
lower+stem,CHAR_3-5,LinearSVM,0.641023192467405,0.0197417320158063,0.6368737284669971,0.6357388316151202,"{""clf__C"": 1}",91.4
lower+stem,TFIDF,LogRegresija,0.6409218288023492,0.017673471704570867,0.6509312061874183,0.6529209621993127,"{""clf__C"": 1}",10.3
lower+lema,IDF,LogRegresija,0.6407433209035969,0.021548142308236127,0.6553831225400331,0.6563573883161512,"{""clf__C"": 1}",45.4
lower+lema,TFIDF,LogRegresija,0.6399594189574855,0.015045979080590894,0.6648042801029391,0.6666666666666666,"{""clf__C"": 1}",14.2
lower+lema,TFIDF_1-3,LinearSVM,0.6395812140011475,0.02567978577579167,0.694332420505052,0.6941580756013745,"{""clf__C"": 1}",51.9
lower+lema,CHAR_3-5,LinearSVM,0.6390028793620415,0.020880633484905785,0.7067587701476364,0.7079037800687286,"{""clf__C"": 1}",108.6
lower+stem,TFIDF,LinearSVM,0.6388078815807751,0.026309596229786222,0.6468316382681024,0.6494845360824743,"{""clf__C"": 0.1}",11.6
lower+stem,IDF,LinearSVM,0.6379533533230359,0.02567457174564881,0.6451612903225806,0.6460481099656358,"{""clf__C"": 0.1}",12.4
lower+stem,TFIDF_1-3,LogRegresija,0.6373201662085679,0.022419851646999132,0.6719431867308862,0.6735395189003437,"{""clf__C"": 1}",35.1
lower+lema,TFIDF,LinearSVM,0.6359124813852025,0.025462848907384768,0.6563144381087201,0.6597938144329897,"{""clf__C"": 0.1}",16.1
lower+lema,IDF,LinearSVM,0.6351180909556715,0.01241796629662748,0.6561256144810117,0.6563573883161512,"{""clf__C"": 1}",14.8
lower+stem,TFIDF_1-2,LinearSVM,0.634993971174833,0.030329231772164338,0.6630824372759857,0.6666666666666666,"{""clf__C"": 0.1}",23.6
lower+lema,TFIDF_1-2,MultinomialNB,0.6345797742444669,0.04387984436820739,0.6423209109645563,0.6426116838487973,"{""clf__alpha"": 0.1}",15.0
lower+stem,TFIDF_1-3,LinearSVM,0.6342750424496175,0.02407349694097632,0.6704144620811286,0.6701030927835051,"{""clf__C"": 1}",38.5
lower+stem,REC+CHAR,MultinomialNB,0.6330058101229364,0.03329011092410884,0.6493590590722875,0.6494845360824743,"{""clf__alpha"": 0.01}",90.5
lower+lema,REC+CHAR,MultinomialNB,0.6323518422075388,0.034799964315813704,0.6496322106078204,0.6494845360824743,"{""clf__alpha"": 0.1}",113.7
lower,REC+CHAR,MultinomialNB,0.6307118984325614,0.03096096125624106,0.6359625222076118,0.6357388316151202,"{""clf__alpha"": 0.1}",118.0
lower+stem,TFIDF_1-3,MultinomialNB,0.6287493933007526,0.04273421573861502,0.6585952059636271,0.6597938144329897,"{""clf__alpha"": 0.1}",24.5
lower+lema,TFIDF_1-3,MultinomialNB,0.6273405207050339,0.04290828446739869,0.6535662207424034,0.6563573883161512,"{""clf__alpha"": 0.1}",36.2
lower+stem,TFIDF,MultinomialNB,0.6253266836243982,0.030487940487042765,0.6429287504475475,0.6426116838487973,"{""clf__alpha"": 0.5}",9.7
lower+lema,IDF,MultinomialNB,0.6247827776792041,0.03566878328615598,0.6117406060685762,0.6116838487972509,"{""clf__alpha"": 2.0}",58.9
lower,TFIDF,LinearSVM,0.6242344926421992,0.0349076096909585,0.6526561632755609,0.6529209621993127,"{""clf__C"": 1}",15.6
lower,CHAR_3-5,MultinomialNB,0.6241190249359951,0.03611672823097252,0.6562000091411856,0.6563573883161512,"{""clf__alpha"": 0.01}",70.3
lower+stem,IDF,MultinomialNB,0.6237259957043373,0.03294927338915737,0.6496437220585459,0.6494845360824743,"{""clf__alpha"": 0.5}",61.4
lower+stem,TF,MultinomialNB,0.6209077226109737,0.027481953193264505,0.6499401832735165,0.6494845360824743,"{""clf__alpha"": 1.0}",129.2
lower,TFIDF_1-2,LogRegresija,0.620487580543452,0.035576301721386136,0.694308210278317,0.6941580756013745,"{""clf__C"": 10}",17.8
lower,TFIDF_1-2,MultinomialNB,0.6201461505012003,0.03357675803045015,0.6533513270355376,0.6529209621993127,"{""clf__alpha"": 0.1}",16.0
lower+lema,TFIDF,MultinomialNB,0.61958113357525,0.03418944984553945,0.6396110851004364,0.6391752577319587,"{""clf__alpha"": 1.0}",14.0
lower,TFIDF_1-2,LinearSVM,0.6181866268723426,0.03522630920340459,0.6769509857405732,0.6769759450171822,"{""clf__C"": 1}",20.3
lower,IDF,LinearSVM,0.6180664242104964,0.03101043094294722,0.6632396223915585,0.6632302405498282,"{""clf__C"": 1}",14.5
lower,IDF,LogRegresija,0.6177337055998153,0.037941760317405836,0.669103151104086,0.6701030927835051,"{""clf__C"": 1}",14.5
lower,TFIDF,LogRegresija,0.617666606958016,0.03763472730184,0.6521125349008029,0.6529209621993127,"{""clf__C"": 1}",13.8
lower,TFIDF_1-3,LogRegresija,0.6174565312413514,0.02755743812726698,0.663225886907748,0.6632302405498282,"{""clf__C"": 10}",51.7
lower+stem,CHAR_3-5,MultinomialNB,0.6161220027105017,0.028059608489202494,0.6328211566772858,0.6323024054982818,"{""clf__alpha"": 0.1}",60.3
lower+lema,CHAR_3-5,MultinomialNB,0.6125720241258529,0.032603729364310836,0.6367199672853262,0.6357388316151202,"{""clf__alpha"": 0.5}",56.3
lower+lema,TF,MultinomialNB,0.6122676968086195,0.027251456035984424,0.6464452162555289,0.6460481099656358,"{""clf__alpha"": 2.0}",80.7
lower+stem,TF,LinearSVM,0.6110736324224216,0.007874648003725405,0.6467611313624192,0.6494845360824743,"{""clf__C"": 0.01}",99.6
lower+lema,TF,LinearSVM,0.6104151484172184,0.020626257561995973,0.6550640523608352,0.6563573883161512,"{""clf__C"": 0.01}",60.1
lower,TF,MultinomialNB,0.6098341035683519,0.025948520082850483,0.6597704373845757,0.6597938144329897,"{""clf__alpha"": 0.5}",14.1
lower,TFIDF_1-3,LinearSVM,0.6096662771446313,0.031948141875245556,0.6663084105246052,0.6701030927835051,"{""clf__C"": 0.1}",58.5
lower+stem,TF,LogRegresija,0.6093740144614127,0.009974092963870305,0.6482451600797751,0.6494845360824743,"{""clf__C"": 0.1}",99.4
