konfiguracija,cv_macroF1,razlika,p_vrednost,znacajno_p<0.05
lower+stem | REC+CHAR | LogRegresija,0.6584,0.0002,1.0,False
lower | CHAR_3-5 | LinearSVM,0.6565,0.0021,0.6953,False
lower+lema | REC+CHAR | LogRegresija,0.656,0.0025,0.9219,False
lower | REC+CHAR | LogRegresija,0.656,0.0026,1.0,False
lower+stem | REC+CHAR | LinearSVM,0.6538,0.0048,0.5566,False
lower+lema | REC+CHAR | LinearSVM,0.6524,0.0062,0.9219,False
lower+lema | TFIDF_1-2 | LogRegresija,0.6504,0.0082,0.625,False
lower+stem | CHAR_3-5 | LogRegresija,0.6477,0.0109,0.2754,False
lower+lema | TFIDF_1-2 | LinearSVM,0.6464,0.0121,0.4316,False
lower | REC+CHAR | LinearSVM,0.6463,0.0122,0.3223,False
lower+lema | TFIDF_1-3 | LogRegresija,0.6437,0.0148,0.3223,False
lower+stem | IDF | LogRegresija,0.6426,0.0159,0.2324,False
lower+lema | CHAR_3-5 | LogRegresija,0.6419,0.0167,0.0371,True
lower+stem | TFIDF_1-2 | MultinomialNB,0.6417,0.0169,0.4922,False
lower+stem | TFIDF_1-2 | LogRegresija,0.6414,0.0172,0.2324,False
lower+stem | CHAR_3-5 | LinearSVM,0.641,0.0175,0.0488,True
lower+stem | TFIDF | LogRegresija,0.6409,0.0176,0.0488,True
lower+lema | IDF | LogRegresija,0.6407,0.0178,0.0371,True
lower+lema | TFIDF | LogRegresija,0.64,0.0186,0.0371,True
lower+lema | TFIDF_1-3 | LinearSVM,0.6396,0.019,0.2324,False
lower+lema | CHAR_3-5 | LinearSVM,0.639,0.0195,0.0098,True
lower+stem | TFIDF | LinearSVM,0.6388,0.0197,0.2324,False
lower+stem | IDF | LinearSVM,0.638,0.0206,0.1055,False
lower+stem | TFIDF_1-3 | LogRegresija,0.6373,0.0212,0.1309,False
lower+lema | TFIDF | LinearSVM,0.6359,0.0226,0.084,False
lower+lema | IDF | LinearSVM,0.6351,0.0234,0.0273,True
lower+stem | TFIDF_1-2 | LinearSVM,0.635,0.0236,0.084,False
lower+lema | TFIDF_1-2 | MultinomialNB,0.6346,0.024,0.1055,False
lower+stem | TFIDF_1-3 | LinearSVM,0.6343,0.0243,0.0645,False
lower+stem | REC+CHAR | MultinomialNB,0.633,0.0255,0.1602,False
lower+lema | REC+CHAR | MultinomialNB,0.6324,0.0262,0.1309,False
lower | REC+CHAR | MultinomialNB,0.6307,0.0278,0.0273,True
lower+stem | TFIDF_1-3 | MultinomialNB,0.6287,0.0298,0.084,False
lower+lema | TFIDF_1-3 | MultinomialNB,0.6273,0.0312,0.0645,False
lower+stem | TFIDF | MultinomialNB,0.6253,0.0332,0.084,False
lower+lema | IDF | MultinomialNB,0.6248,0.0338,0.084,False
lower | TFIDF | LinearSVM,0.6242,0.0343,0.0273,True
lower | CHAR_3-5 | MultinomialNB,0.6241,0.0344,0.084,False
lower+stem | IDF | MultinomialNB,0.6237,0.0348,0.084,False
lower+stem | TF | MultinomialNB,0.6209,0.0376,0.0195,True
lower | TFIDF_1-2 | LogRegresija,0.6205,0.0381,0.0488,True
lower | TFIDF_1-2 | MultinomialNB,0.6201,0.0384,0.0273,True
lower+lema | TFIDF | MultinomialNB,0.6196,0.039,0.0371,True
lower | TFIDF_1-2 | LinearSVM,0.6182,0.0404,0.0195,True
lower | IDF | LinearSVM,0.6181,0.0405,0.0059,True
lower | IDF | LogRegresija,0.6177,0.0408,0.0195,True
lower | TFIDF | LogRegresija,0.6177,0.0409,0.0273,True
lower | TFIDF_1-3 | LogRegresija,0.6175,0.0411,0.0039,True
lower+stem | CHAR_3-5 | MultinomialNB,0.6161,0.0424,0.0137,True
lower+lema | CHAR_3-5 | MultinomialNB,0.6126,0.046,0.0098,True
lower+lema | TF | MultinomialNB,0.6123,0.0463,0.0039,True
lower+stem | TF | LinearSVM,0.6111,0.0475,0.0039,True
lower+lema | TF | LinearSVM,0.6104,0.0481,0.002,True
lower | TF | MultinomialNB,0.6098,0.0487,0.002,True
lower | TFIDF_1-3 | LinearSVM,0.6097,0.0489,0.002,True
lower+stem | TF | LogRegresija,0.6094,0.0492,0.0039,True
lower+lema | TF | LogRegresija,0.6076,0.051,0.002,True
lower | TF | LinearSVM,0.607,0.0516,0.0098,True
lower | TFIDF | MultinomialNB,0.6069,0.0516,0.0039,True
lower | TFIDF_1-3 | MultinomialNB,0.6062,0.0524,0.0059,True
lower | IDF | MultinomialNB,0.6049,0.0536,0.0039,True
lower | TF | LogRegresija,0.6021,0.0564,0.0098,True
lower | TF | Vecinski,0.1702,0.4884,0.002,True
lower+stem | TF | Vecinski,0.1702,0.4884,0.002,True
lower+lema | TF | Vecinski,0.1702,0.4884,0.002,True
