pretprocesiranje,odlike,model,cv_macroF1_sr,cv_macroF1_std,test_macroF1,test_tacnost,hiperparametri,vreme_s
lower+lema,REC+CHAR,LogRegresija,0.657201347525991,0.025644276180089617,0.6935549450246327,0.6941580756013745,"{""clf__C"": 10}",212.5
lower+stem,REC+CHAR,LogRegresija,0.6566696668070147,0.02032895814069783,0.6823277258676906,0.6838487972508591,"{""clf__C"": 1}",301.1
lower,REC+CHAR,LogRegresija,0.6557694432551203,0.023744402009276296,0.6874723670642879,0.6872852233676976,"{""clf__C"": 100}",374.0
lower+lema,REC+CHAR,LinearSVM,0.6552157663040875,0.02210249890600478,0.703219767037747,0.7044673539518901,"{""clf__C"": 0.1}",216.6
lower,REC+CHAR,LinearSVM,0.654236113443505,0.027642309350663842,0.68236834507502,0.6838487972508591,"{""clf__C"": 0.1}",383.8
lower+stem,REC+CHAR,LinearSVM,0.6528789620300834,0.028548693652058334,0.6922713155271295,0.6941580756013745,"{""clf__C"": 0.1}",313.6
lower,CHAR_3-5,LogRegresija,0.6521993629277595,0.01994649821614097,0.6984624930576042,0.697594501718213,"{""clf__C"": 10}",366.2
lower,CHAR_3-5,LinearSVM,0.651906842787787,0.01914887246455536,0.6873385012919897,0.6872852233676976,"{""clf__C"": 1}",369.9
lower+lema,TFIDF_1-2,LogRegresija,0.649564146686859,0.029895075257750547,0.6739807033924681,0.6735395189003437,"{""clf__C"": 10}",170.2
lower+stem,CHAR_3-5,LogRegresija,0.6485223802200187,0.021859534163992785,0.6764911431578099,0.6769759450171822,"{""clf__C"": 1}",289.6
lower+lema,TFIDF_1-2,LinearSVM,0.6475208092746239,0.029479106294028355,0.6743694205124781,0.6735395189003437,"{""clf__C"": 1}",161.7
lower+stem,TFIDF_1-2,LogRegresija,0.6447482126309739,0.030497762804898618,0.6743875684852014,0.6769759450171822,"{""clf__C"": 1}",95.1
lower+lema,CHAR_3-5,LinearSVM,0.6442756844431098,0.020189966959509274,0.6868732018425517,0.6872852233676976,"{""clf__C"": 1}",220.9
