konfiguracija,cv_macroF1,razlika,p_vrednost,znacajno_p<0.05
lower+stem | REC+CHAR | LogRegresija,0.6567,0.0005,0.9219,False
lower | REC+CHAR | LogRegresija,0.6558,0.0014,1.0,False
lower+lema | REC+CHAR | LinearSVM,0.6552,0.002,0.9219,False
lower | REC+CHAR | LinearSVM,0.6542,0.003,1.0,False
lower+stem | REC+CHAR | LinearSVM,0.6529,0.0043,0.625,False
lower | CHAR_3-5 | LogRegresija,0.6522,0.005,0.4316,False
lower | CHAR_3-5 | LinearSVM,0.6519,0.0053,0.625,False
lower+lema | TFIDF_1-2 | LogRegresija,0.6496,0.0076,0.5566,False
lower+stem | CHAR_3-5 | LogRegresija,0.6485,0.0087,0.3223,False
lower+lema | TFIDF_1-2 | LinearSVM,0.6475,0.0097,0.375,False
lower+stem | TFIDF_1-2 | LogRegresija,0.6447,0.0125,0.2754,False
lower+lema | CHAR_3-5 | LinearSVM,0.6443,0.0129,0.1602,False
lower+lema | IDF | LogRegresija,0.6434,0.0139,0.1309,False
lower+lema | TFIDF_1-3 | LogRegresija,0.6427,0.0145,0.1934,False
lower+lema | TFIDF | LogRegresija,0.6424,0.0148,0.0488,True
lower+lema | CHAR_3-5 | LogRegresija,0.642,0.0152,0.2324,False
lower+stem | IDF | LogRegresija,0.6401,0.0171,0.0645,False
lower+stem | CHAR_3-5 | LinearSVM,0.6392,0.018,0.1309,False
lower+lema | TFIDF | LinearSVM,0.6389,0.0183,0.0371,True
lower+stem | TFIDF_1-2 | MultinomialNB,0.6384,0.0188,0.1934,False
lower+stem | TFIDF | LogRegresija,0.638,0.0192,0.0488,True
lower+stem | IDF | LinearSVM,0.6378,0.0194,0.1602,False
lower+stem | TFIDF_1-2 | LinearSVM,0.6373,0.0199,0.0488,True
lower+lema | TFIDF_1-3 | LinearSVM,0.6358,0.0214,0.1055,False
lower+stem | REC+CHAR | MultinomialNB,0.6346,0.0226,0.1309,False
lower+lema | IDF | LinearSVM,0.6322,0.025,0.0371,True
lower+lema | TFIDF_1-2 | MultinomialNB,0.6322,0.025,0.084,False
lower+stem | TFIDF_1-3 | LogRegresija,0.6321,0.0251,0.0645,False
lower+stem | TFIDF | LinearSVM,0.6313,0.0259,0.084,False
lower+lema | REC+CHAR | MultinomialNB,0.631,0.0262,0.084,False
lower | TFIDF_1-2 | LogRegresija,0.6291,0.0281,0.084,False
lower+stem | TFIDF | MultinomialNB,0.6282,0.029,0.084,False
lower+lema | IDF | MultinomialNB,0.6281,0.0291,0.1055,False
lower | REC+CHAR | MultinomialNB,0.6278,0.0294,0.084,False
lower+stem | TFIDF_1-3 | LinearSVM,0.6277,0.0295,0.0371,True
lower+lema | TFIDF | MultinomialNB,0.6264,0.0308,0.0645,False
lower | TFIDF_1-2 | LinearSVM,0.6263,0.0309,0.0371,True
lower+lema | TFIDF_1-3 | MultinomialNB,0.6247,0.0325,0.0488,True
lower+stem | IDF | MultinomialNB,0.6247,0.0325,0.084,False
lower | CHAR_3-5 | MultinomialNB,0.6246,0.0326,0.0273,True
lower+stem | TFIDF_1-3 | MultinomialNB,0.6222,0.035,0.0488,True
lower | IDF | LogRegresija,0.6219,0.0353,0.0371,True
lower | TFIDF | LogRegresija,0.6215,0.0357,0.0371,True
lower+stem | TF | MultinomialNB,0.6201,0.0371,0.0137,True
lower+lema | TF | MultinomialNB,0.6188,0.0384,0.0039,True
lower | IDF | LinearSVM,0.6187,0.0385,0.0488,True
lower | TFIDF_1-2 | MultinomialNB,0.6181,0.0391,0.0371,True
lower | TFIDF_1-3 | LogRegresija,0.6181,0.0391,0.0195,True
lower+lema | TF | LinearSVM,0.6174,0.0398,0.002,True
lower | TFIDF_1-3 | LinearSVM,0.6167,0.0405,0.0195,True
lower+lema | CHAR_3-5 | MultinomialNB,0.6163,0.0409,0.0137,True
lower | TFIDF | LinearSVM,0.6157,0.0415,0.0371,True
lower+stem | CHAR_3-5 | MultinomialNB,0.6152,0.042,0.0098,True
lower | TF | MultinomialNB,0.6146,0.0426,0.0137,True
lower+lema | TF | LogRegresija,0.6135,0.0437,0.0039,True
lower+stem | TF | LinearSVM,0.6126,0.0446,0.0059,True
lower | TFIDF_1-3 | MultinomialNB,0.6115,0.0457,0.0137,True
lower+stem | TF | LogRegresija,0.61,0.0472,0.0039,True
lower | TFIDF | MultinomialNB,0.6079,0.0493,0.0098,True
lower | IDF | MultinomialNB,0.6071,0.0501,0.0098,True
lower | TF | LinearSVM,0.607,0.0502,0.0098,True
lower | TF | LogRegresija,0.6037,0.0535,0.0059,True
lower | TF | Vecinski,0.1702,0.487,0.002,True
lower+stem | TF | Vecinski,0.1702,0.487,0.002,True
lower+lema | TF | Vecinski,0.1702,0.487,0.002,True
