pretprocesiranje,odlike,model,cv_macroF1_sr,cv_macroF1_std,hiperparametri,vreme_s
lower+stem,REC+CHAR,LogRegresija,0.6743994054290783,0.027409075863348585,"{""clf__C"": 1}",64.6
lower+lema,REC+CHAR,LogRegresija,0.6718570094050674,0.02120905163966159,"{""clf__C"": 1}",76.7
lower+stem,REC+CHAR,LinearSVM,0.6696198228280518,0.02520546471020777,"{""clf__C"": 0.1}",94.3
lower,REC+CHAR,LinearSVM,0.6692945578668498,0.026600587634612295,"{""clf__C"": 0.1}",66.5
lower+lema,REC+CHAR,LinearSVM,0.6691077050041218,0.01810650179312374,"{""clf__C"": 0.1}",74.9
lower,REC+CHAR,LogRegresija,0.6677000595273472,0.02768997754797873,"{""clf__C"": 1}",74.4
lower,CHAR_3-5,LinearSVM,0.6668405875233959,0.0242744212543398,"{""clf__C"": 1}",77.2
lower,CHAR_3-5,LogRegresija,0.6657653635316922,0.026122355944097952,"{""clf__C"": 10}",71.5
lower+stem,TFIDF_1-2,LogRegresija,0.6637548599366068,0.03338536479653777,"{""clf__C"": 10}",11.5
lower+stem,CHAR_3-5,LogRegresija,0.6626854910959923,0.01978960273504044,"{""clf__C"": 1}",44.1
lower+lema,TFIDF_1-2,LogRegresija,0.6620378539849237,0.027781367309513114,"{""clf__C"": 10}",13.2
lower+stem,TFIDF_1-2,LinearSVM,0.6607418399320889,0.03434460202019067,"{""clf__C"": 1}",20.0
lower+lema,CHAR_3-5,LinearSVM,0.6583531676118483,0.019179304566815374,"{""clf__C"": 0.1}",80.5
lower+stem,CHAR_3-5,LinearSVM,0.6572871229335976,0.018601641582569745,"{""clf__C"": 0.1}",74.0
lower+lema,CHAR_3-5,LogRegresija,0.6564368138651517,0.01657159151135274,"{""clf__C"": 1}",59.3
lower+lema,TFIDF_1-2,LinearSVM,0.6558650028534234,0.025800289444158873,"{""clf__C"": 1}",16.2
lower+stem,TFIDF_1-3,LogRegresija,0.6547406685885788,0.030230200772579634,"{""clf__C"": 10}",26.4
lower+lema,TFIDF_1-3,LogRegresija,0.6540545116189906,0.02383270246656031,"{""clf__C"": 1}",32.8
lower+stem,TFIDF_1-3,LinearSVM,0.6491233267535363,0.03012675801902157,"{""clf__C"": 1}",30.2
lower+lema,TFIDF_1-3,LinearSVM,0.6491069928947455,0.030252761400143595,"{""clf__C"": 1}",34.3
lower+lema,TFIDF,LogRegresija,0.648955817723694,0.02824367243124557,"{""clf__C"": 1}",8.0
lower+lema,TFIDF,LinearSVM,0.6485511501913926,0.02553120152362851,"{""clf__C"": 0.1}",8.6
lower+stem,IDF,LogRegresija,0.6480400519725065,0.029063913790237973,"{""clf__C"": 1}",8.2
lower+stem,TFIDF_1-2,MultinomialNB,0.6479149570383501,0.017722907946304923,"{""clf__alpha"": 0.01}",10.4
lower+lema,IDF,LogRegresija,0.6472401227127158,0.028343244851494052,"{""clf__C"": 1}",8.8
lower+stem,IDF,LinearSVM,0.645711064277074,0.023157802544398275,"{""clf__C"": 0.1}",7.3
lower+stem,TFIDF,LinearSVM,0.645585386561056,0.03197293309443098,"{""clf__C"": 1}",9.2
lower+stem,REC+CHAR,MultinomialNB,0.6445262577205247,0.02110249569735137,"{""clf__alpha"": 0.01}",70.9
lower+lema,REC+CHAR,MultinomialNB,0.6443016582838743,0.02589134880178437,"{""clf__alpha"": 0.01}",79.6
lower+stem,TFIDF,LogRegresija,0.6437293003694188,0.03022891526667026,"{""clf__C"": 1}",7.6
lower+lema,IDF,LinearSVM,0.642241108162023,0.024153478838494145,"{""clf__C"": 0.1}",7.1
lower+lema,TFIDF_1-2,MultinomialNB,0.6417515147695063,0.02794850630059522,"{""clf__alpha"": 0.5}",12.9
