konfiguracija,cv_macroF1,razlika,p_vrednost,znacajno_p<0.05
lower+lema | REC+CHAR | LogRegresija,0.6719,0.0025,0.6953,False
lower+stem | REC+CHAR | LinearSVM,0.6696,0.0048,0.2324,False
lower | REC+CHAR | LinearSVM,0.6693,0.0051,0.2324,False
lower+lema | REC+CHAR | LinearSVM,0.6691,0.0053,0.4316,False
lower | REC+CHAR | LogRegresija,0.6677,0.0067,0.1055,False
lower | CHAR_3-5 | LinearSVM,0.6668,0.0076,0.0137,True
lower | CHAR_3-5 | LogRegresija,0.6658,0.0086,0.0645,False
lower+stem | TFIDF_1-2 | LogRegresija,0.6638,0.0106,0.1602,False
lower+stem | CHAR_3-5 | LogRegresija,0.6627,0.0117,0.0371,True
lower+lema | TFIDF_1-2 | LogRegresija,0.662,0.0124,0.0195,True
lower+stem | TFIDF_1-2 | LinearSVM,0.6607,0.0137,0.084,False
lower+lema | CHAR_3-5 | LinearSVM,0.6584,0.016,0.0273,True
lower+stem | CHAR_3-5 | LinearSVM,0.6573,0.0171,0.002,True
lower+lema | CHAR_3-5 | LogRegresija,0.6564,0.018,0.0195,True
lower+lema | TFIDF_1-2 | LinearSVM,0.6559,0.0185,0.0039,True
lower+stem | TFIDF_1-3 | LogRegresija,0.6547,0.0197,0.002,True
lower+lema | TFIDF_1-3 | LogRegresija,0.6541,0.0203,0.0273,True
lower+stem | TFIDF_1-3 | LinearSVM,0.6491,0.0253,0.0039,True
lower+lema | TFIDF_1-3 | LinearSVM,0.6491,0.0253,0.0039,True
lower+lema | TFIDF | LogRegresija,0.649,0.0254,0.0098,True
lower+lema | TFIDF | LinearSVM,0.6486,0.0258,0.0137,True
lower+stem | IDF | LogRegresija,0.648,0.0264,0.0098,True
lower+stem | TFIDF_1-2 | MultinomialNB,0.6479,0.0265,0.0137,True
lower+lema | IDF | LogRegresija,0.6472,0.0272,0.0195,True
lower+stem | IDF | LinearSVM,0.6457,0.0287,0.002,True
lower+stem | TFIDF | LinearSVM,0.6456,0.0288,0.002,True
lower+stem | REC+CHAR | MultinomialNB,0.6445,0.0299,0.0137,True
lower+lema | REC+CHAR | MultinomialNB,0.6443,0.0301,0.0371,True
lower+stem | TFIDF | LogRegresija,0.6437,0.0307,0.002,True
lower+lema | IDF | LinearSVM,0.6422,0.0322,0.0098,True
lower+lema | TFIDF_1-2 | MultinomialNB,0.6418,0.0326,0.0098,True
lower | REC+CHAR | MultinomialNB,0.6387,0.0357,0.0137,True
lower+lema | TFIDF_1-3 | MultinomialNB,0.636,0.0384,0.0195,True
lower | TFIDF_1-2 | LinearSVM,0.6351,0.0393,0.0059,True
lower | TFIDF_1-2 | LogRegresija,0.6349,0.0395,0.002,True
lower | TFIDF_1-2 | MultinomialNB,0.6349,0.0395,0.0059,True
lower+stem | TFIDF_1-3 | MultinomialNB,0.6343,0.0401,0.0059,True
lower+lema | TFIDF | MultinomialNB,0.6336,0.0408,0.0039,True
lower+lema | IDF | MultinomialNB,0.6332,0.0412,0.0039,True
lower+stem | TFIDF | MultinomialNB,0.633,0.0414,0.0098,True
lower | TFIDF | LogRegresija,0.6324,0.042,0.002,True
lower+stem | TF | LogRegresija,0.632,0.0424,0.0039,True
lower | TFIDF_1-3 | MultinomialNB,0.6315,0.0429,0.002,True
lower | IDF | LogRegresija,0.629,0.0454,0.002,True
lower | TFIDF_1-3 | LinearSVM,0.6287,0.0457,0.0039,True
lower+stem | IDF | MultinomialNB,0.6279,0.0465,0.002,True
lower | IDF | LinearSVM,0.6278,0.0466,0.002,True
lower+stem | TF | LinearSVM,0.6276,0.0468,0.002,True
lower | TFIDF_1-3 | LogRegresija,0.6271,0.0473,0.0039,True
lower | CHAR_3-5 | MultinomialNB,0.6267,0.0477,0.0039,True
lower+lema | CHAR_3-5 | MultinomialNB,0.6245,0.0499,0.0098,True
lower+lema | TF | LinearSVM,0.624,0.0504,0.002,True
lower+stem | CHAR_3-5 | MultinomialNB,0.6239,0.0505,0.002,True
lower+lema | TF | LogRegresija,0.6226,0.0518,0.002,True
lower | TFIDF | LinearSVM,0.6226,0.0518,0.002,True
lower+stem | TF | MultinomialNB,0.6219,0.0525,0.0039,True
lower+lema | TF | MultinomialNB,0.6219,0.0525,0.002,True
lower | TFIDF | MultinomialNB,0.6183,0.0561,0.002,True
lower | IDF | MultinomialNB,0.6171,0.0573,0.002,True
lower | TF | MultinomialNB,0.6166,0.0578,0.0039,True
lower | TF | LinearSVM,0.6067,0.0677,0.002,True
lower | TF | LogRegresija,0.6053,0.0691,0.002,True
lower | TF | Vecinski,0.1702,0.5042,0.002,True
lower+stem | TF | Vecinski,0.1702,0.5042,0.002,True
lower+lema | TF | Vecinski,0.1702,0.5042,0.002,True
