pretprocesiranje,odlike,model,cv_macroF1_sr,cv_macroF1_std,test_macroF1,test_tacnost,hiperparametri,vreme_s
lower,REC+CHAR,LogRegresija,0.6494326480779476,0.013527007426915679,0.6691327572334437,0.6701030927835051,"{""clf__C"": 1}",50.1
lower+lema,REC+CHAR,LogRegresija,0.6487649976490257,0.013853749700353218,0.6935549450246327,0.6941580756013745,"{""clf__C"": 10}",100.4
lower+lema,TFIDF_1-2,LogRegresija,0.6470081195049809,0.010560813112953472,0.6739807033924681,0.6735395189003437,"{""clf__C"": 10}",18.3
lower+lema,REC+CHAR,LinearSVM,0.6469411146854203,0.011599211227077737,0.703219767037747,0.7044673539518901,"{""clf__C"": 0.1}",132.9
lower+stem,REC+CHAR,LogRegresija,0.6468519970660916,0.01463663616462228,0.6823277258676906,0.6838487972508591,"{""clf__C"": 1}",81.7
lower,REC+CHAR,LinearSVM,0.646829973740118,0.01540049930238682,0.68236834507502,0.6838487972508591,"{""clf__C"": 0.1}",56.2
lower+stem,REC+CHAR,LinearSVM,0.6463441015632666,0.017309541827366843,0.6922713155271295,0.6941580756013745,"{""clf__C"": 0.1}",98.8
lower,CHAR_3-5,LogRegresija,0.644202215445397,0.01782577070071063,0.6798969952026486,0.6804123711340206,"{""clf__C"": 1}",37.0
lower+lema,IDF,LogRegresija,0.6439626984854643,0.009775011796000311,0.6481535321498318,0.6494845360824743,"{""clf__C"": 1}",30.0
lower,CHAR_3-5,LinearSVM,0.6418838960798646,0.0177500877866396,0.6873385012919897,0.6872852233676976,"{""clf__C"": 1}",45.1
lower+lema,TFIDF_1-2,LinearSVM,0.6415298572095977,0.011716590313489803,0.6743694205124781,0.6735395189003437,"{""clf__C"": 1}",29.8
lower+stem,CHAR_3-5,LogRegresija,0.6381266131053766,0.015507250927490964,0.6764911431578099,0.6769759450171822,"{""clf__C"": 1}",53.8
lower+stem,CHAR_3-5,LinearSVM,0.6367673281565098,0.018664286109101726,0.668427851056959,0.6701030927835051,"{""clf__C"": 0.1}",75.1
lower+lema,CHAR_3-5,LogRegresija,0.6367648942986722,0.0073527705322167765,0.6723440421553629,0.6735395189003437,"{""clf__C"": 1}",83.3
lower+lema,TFIDF,LogRegresija,0.6367240252285319,0.008579418414714317,0.6600396725616741,0.6597938144329897,"{""clf__C"": 1}",9.1
lower+lema,TFIDF,LinearSVM,0.6360250383528565,0.018330460286837425,0.6689908204491269,0.6701030927835051,"{""clf__C"": 0.1}",12.4
lower+lema,IDF,LinearSVM,0.6359989506608614,0.020785428499082343,0.6440057512327221,0.6460481099656358,"{""clf__C"": 0.1}",18.2
lower+lema,TFIDF_1-3,LogRegresija,0.6356356753390122,0.018765747314779885,0.6746693121693123,0.6769759450171822,"{""clf__C"": 1}",42.6
lower+stem,TFIDF_1-2,LogRegresija,0.6347297890348539,0.019120920207111366,0.6743875684852014,0.6769759450171822,"{""clf__C"": 1}",8.0
lower+stem,IDF,LogRegresija,0.6341729631345213,0.015405686670950542,0.6637945872701971,0.6632302405498282,"{""clf__C"": 1}",12.0
lower+stem,TFIDF,LinearSVM,0.6326900558547213,0.02092926965897132,0.6538787862157204,0.6563573883161512,"{""clf__C"": 0.1}",7.1
lower+lema,CHAR_3-5,LinearSVM,0.6322757104091046,0.00861397074673892,0.6868732018425517,0.6872852233676976,"{""clf__C"": 1}",107.7
lower+stem,REC+CHAR,MultinomialNB,0.6319798293600465,0.021986551193577102,0.6483499386352783,0.6494845360824743,"{""clf__alpha"": 0.01}",77.0
lower+stem,TFIDF,LogRegresija,0.6312863334153122,0.015149757017847678,0.657681497242511,0.6597938144329897,"{""clf__C"": 1}",5.6
lower+lema,REC+CHAR,MultinomialNB,0.6307994776641137,0.025751398234126196,0.6451700707369455,0.6460481099656358,"{""clf__alpha"": 0.01}",94.8
lower+lema,TFIDF_1-3,LinearSVM,0.6301734975693485,0.011938083656807066,0.6550671550671551,0.6563573883161512,"{""clf__C"": 1}",40.3
lower+stem,TFIDF_1-2,LinearSVM,0.6295843369104819,0.01892040933257902,0.6524172025225236,0.6563573883161512,"{""clf__C"": 0.1}",15.7
lower+lema,TFIDF_1-2,MultinomialNB,0.6279022659072663,0.02021628904832928,0.6453218399651094,0.6460481099656358,"{""clf__alpha"": 0.1}",13.0
lower+stem,IDF,LinearSVM,0.6278713513152272,0.019220175017785647,0.6555961391773749,0.6563573883161512,"{""clf__C"": 0.1}",5.8
lower,REC+CHAR,MultinomialNB,0.6277260497937833,0.01646476134035513,0.6453869951137711,0.6460481099656358,"{""clf__alpha"": 0.1}",47.3
lower+stem,TFIDF_1-3,LogRegresija,0.6275173541896792,0.01545035820263067,0.6605169532974331,0.6632302405498282,"{""clf__C"": 1}",23.9
lower+stem,TFIDF,MultinomialNB,0.6271126868735566,0.018940588712961247,0.653145939028292,0.6529209621993127,"{""clf__alpha"": 0.5}",5.6
lower+stem,TFIDF_1-2,MultinomialNB,0.6270883035241195,0.01803205338292069,0.6450213960136307,0.6460481099656358,"{""clf__alpha"": 0.1}",6.9
lower+stem,IDF,MultinomialNB,0.6244796584948951,0.023779244675817254,0.6532639922573216,0.6529209621993127,"{""clf__alpha"": 0.5}",14.4
lower+stem,TFIDF_1-3,LinearSVM,0.6233988027439102,0.018811444062227,0.6586823719371032,0.6632302405498282,"{""clf__C"": 0.1}",32.9
lower,CHAR_3-5,MultinomialNB,0.6219545262856034,0.021817204363555397,0.6635648060739947,0.6632302405498282,"{""clf__alpha"": 0.01}",28.4
lower+lema,TFIDF,MultinomialNB,0.6219332985696496,0.026915585941259562,0.622597010832305,0.6219931271477663,"{""clf__alpha"": 2.0}",11.2
lower+stem,TFIDF_1-3,MultinomialNB,0.6215149947986515,0.025943929354780567,0.6529946929771664,0.6563573883161512,"{""clf__alpha"": 0.1}",23.2
lower,TFIDF_1-2,MultinomialNB,0.6214703886174487,0.017849821969598934,0.6700580436102532,0.6701030927835051,"{""clf__alpha"": 0.1}",7.0
lower+lema,TFIDF_1-3,MultinomialNB,0.6213157715968708,0.012025790441018425,0.6613412577421327,0.6632302405498282,"{""clf__alpha"": 0.1}",42.0
lower,TFIDF_1-2,LogRegresija,0.6200457216187736,0.021842490331091785,0.66637278445517,0.6666666666666666,"{""clf__C"": 10}",8.5
lower,IDF,LogRegresija,0.6200391674117423,0.02449266355350402,0.6588716005382672,0.6597938144329897,"{""clf__C"": 1}",9.7
lower,TFIDF,LogRegresija,0.6196442180190299,0.019857076975523066,0.6592330660989139,0.6597938144329897,"{""clf__C"": 1}",6.8
lower+lema,IDF,MultinomialNB,0.6190498662626029,0.02562717553912616,0.618854932387331,0.6185567010309279,"{""clf__alpha"": 0.5}",34.2
lower+lema,CHAR_3-5,MultinomialNB,0.6170166042521135,0.02421337148282403,0.64617673992674,0.6460481099656358,"{""clf__alpha"": 0.1}",55.1
lower,TFIDF_1-2,LinearSVM,0.6169974200160058,0.02158250251956031,0.6595154901731962,0.6597938144329897,"{""clf__C"": 1}",9.9
lower,IDF,LinearSVM,0.6163000245195126,0.019730085958163526,0.66104606039287,0.6632302405498282,"{""clf__C"": 0.1}",6.1
lower+stem,CHAR_3-5,MultinomialNB,0.616058356583334,0.019200267659506734,0.6458798695004715,0.6460481099656358,"{""clf__alpha"": 0.01}",37.3
lower+stem,TF,MultinomialNB,0.614837096363176,0.018761304546473137,0.6598625941742827,0.6597938144329897,"{""clf__alpha"": 0.5}",38.1
lower,TFIDF,MultinomialNB,0.6145770319179698,0.022878687544766397,0.6838723051409619,0.6838487972508591,"{""clf__alpha"": 0.1}",5.9
lower,TFIDF,LinearSVM,0.6138598406329263,0.026426557318260147,0.6530177893629671,0.6529209621993127,"{""clf__C"": 1}",6.1
lower+lema,TF,MultinomialNB,0.6118469083544983,0.026092642419120182,0.6294222946674973,0.6288659793814433,"{""clf__alpha"": 1.0}",62.3
lower,TF,MultinomialNB,0.6118269266715495,0.02290295305183451,0.6697617657303256,0.6701030927835051,"{""clf__alpha"": 0.5}",8.4
lower,TFIDF_1-3,LinearSVM,0.6117981553144658,0.020472945016591762,0.6319444444444444,0.6323024054982818,"{""clf__C"": 1}",23.6
lower,TFIDF_1-3,LogRegresija,0.6116428492911214,0.014791821485368591,0.6459082066089011,0.6460481099656358,"{""clf__C"": 10}",20.0
lower+lema,TF,LinearSVM,0.6097353326652828,0.007602548650672684,0.6663434776239655,0.6666666666666666,"{""clf__C"": 0.01}",44.9
lower,IDF,MultinomialNB,0.608869441671978,0.015424265373644684,0.6831678153225501,0.6838487972508591,"{""clf__alpha"": 0.1}",8.8
lower+stem,TF,LogRegresija,0.607115893148986,0.00817618919758629,0.6380409086237023,0.6391752577319587,"{""clf__C"": 0.1}",32.8
lower+stem,TF,LinearSVM,0.6066875462924273,0.003005111230341236,0.6435431048032796,0.6460481099656358,"{""clf__C"": 0.01}",29.4
lower,TFIDF_1-3,MultinomialNB,0.6054160819871541,0.012686401961829751,0.6618595640833025,0.6632302405498282,"{""clf__alpha"": 0.1}",20.2
lower+lema,TF,LogRegresija,0.6047873280996305,0.00747568217739706,0.6663995816891602,0.6666666666666666,"{""clf__C"": 0.1}",69.6
lower,TF,LogRegresija,0.5984426524360004,0.014933543542711602,0.6210734798970093,0.6219931271477663,"{""clf__C"": 0.1}",9.9
lower,TF,LinearSVM,0.5927712287219785,0.00900034729477456,0.6420152080108813,0.6426116838487973,"{""clf__C"": 0.01}",10.2
lower,TF,Vecinski,0.17017638421147194,0.00043416454614779535,0.17050298380221654,0.3436426116838488,{},4.9
lower+stem,TF,Vecinski,0.17017638421147194,0.00043416454614779535,0.17050298380221654,0.3436426116838488,{},18.0
lower+lema,TF,Vecinski,0.17017638421147194,0.00043416454614779535,0.17050298380221654,0.3436426116838488,{},22.0
