konfiguracija,cv_macroF1,razlika,p_vrednost,znacajno_p<0.05
lower+lema | REC+CHAR | LogRegresija,0.6488,0.0007,1.0,False
lower+lema | TFIDF_1-2 | LogRegresija,0.647,0.0024,0.625,False
lower+lema | REC+CHAR | LinearSVM,0.6469,0.0025,0.625,False
lower+stem | REC+CHAR | LogRegresija,0.6469,0.0026,0.625,False
lower | REC+CHAR | LinearSVM,0.6468,0.0026,0.625,False
lower+stem | REC+CHAR | LinearSVM,0.6463,0.0031,1.0,False
lower | CHAR_3-5 | LogRegresija,0.6442,0.0052,1.0,False
lower+lema | IDF | LogRegresija,0.644,0.0055,0.8125,False
lower | CHAR_3-5 | LinearSVM,0.6419,0.0075,0.3125,False
lower+lema | TFIDF_1-2 | LinearSVM,0.6415,0.0079,0.1875,False
lower+stem | CHAR_3-5 | LogRegresija,0.6381,0.0113,0.125,False
lower+stem | CHAR_3-5 | LinearSVM,0.6368,0.0127,0.3125,False
lower+lema | CHAR_3-5 | LogRegresija,0.6368,0.0127,0.3125,False
lower+lema | TFIDF | LogRegresija,0.6367,0.0127,0.1875,False
lower+lema | TFIDF | LinearSVM,0.636,0.0134,0.1875,False
lower+lema | IDF | LinearSVM,0.636,0.0134,0.4375,False
lower+lema | TFIDF_1-3 | LogRegresija,0.6356,0.0138,0.3125,False
lower+stem | TFIDF_1-2 | LogRegresija,0.6347,0.0147,0.125,False
lower+stem | IDF | LogRegresija,0.6342,0.0153,0.3125,False
lower+stem | TFIDF | LinearSVM,0.6327,0.0167,0.125,False
lower+lema | CHAR_3-5 | LinearSVM,0.6323,0.0172,0.1875,False
lower+stem | REC+CHAR | MultinomialNB,0.632,0.0175,0.3125,False
lower+stem | TFIDF | LogRegresija,0.6313,0.0181,0.125,False
lower+lema | REC+CHAR | MultinomialNB,0.6308,0.0186,0.3125,False
lower+lema | TFIDF_1-3 | LinearSVM,0.6302,0.0193,0.125,False
lower+stem | TFIDF_1-2 | LinearSVM,0.6296,0.0198,0.0625,False
lower+lema | TFIDF_1-2 | MultinomialNB,0.6279,0.0215,0.125,False
lower+stem | IDF | LinearSVM,0.6279,0.0216,0.125,False
lower | REC+CHAR | MultinomialNB,0.6277,0.0217,0.3125,False
lower+stem | TFIDF_1-3 | LogRegresija,0.6275,0.0219,0.0625,False
lower+stem | TFIDF | MultinomialNB,0.6271,0.0223,0.125,False
lower+stem | TFIDF_1-2 | MultinomialNB,0.6271,0.0223,0.0625,False
lower+stem | IDF | MultinomialNB,0.6245,0.025,0.1875,False
lower+stem | TFIDF_1-3 | LinearSVM,0.6234,0.026,0.125,False
lower | CHAR_3-5 | MultinomialNB,0.622,0.0275,0.0625,False
lower+lema | TFIDF | MultinomialNB,0.6219,0.0275,0.1875,False
lower+stem | TFIDF_1-3 | MultinomialNB,0.6215,0.0279,0.1875,False
lower | TFIDF_1-2 | MultinomialNB,0.6215,0.028,0.0625,False
lower+lema | TFIDF_1-3 | MultinomialNB,0.6213,0.0281,0.0625,False
lower | TFIDF_1-2 | LogRegresija,0.62,0.0294,0.0625,False
lower | IDF | LogRegresija,0.62,0.0294,0.0625,False
lower | TFIDF | LogRegresija,0.6196,0.0298,0.0625,False
lower+lema | IDF | MultinomialNB,0.619,0.0304,0.125,False
lower+lema | CHAR_3-5 | MultinomialNB,0.617,0.0324,0.0625,False
lower | TFIDF_1-2 | LinearSVM,0.617,0.0324,0.0625,False
lower | IDF | LinearSVM,0.6163,0.0331,0.0625,False
lower+stem | CHAR_3-5 | MultinomialNB,0.6161,0.0334,0.0625,False
lower+stem | TF | MultinomialNB,0.6148,0.0346,0.125,False
lower | TFIDF | MultinomialNB,0.6146,0.0349,0.0625,False
lower | TFIDF | LinearSVM,0.6139,0.0356,0.0625,False
lower+lema | TF | MultinomialNB,0.6118,0.0376,0.125,False
lower | TF | MultinomialNB,0.6118,0.0376,0.0625,False
lower | TFIDF_1-3 | LinearSVM,0.6118,0.0376,0.0625,False
lower | TFIDF_1-3 | LogRegresija,0.6116,0.0378,0.0625,False
lower+lema | TF | LinearSVM,0.6097,0.0397,0.0625,False
lower | IDF | MultinomialNB,0.6089,0.0406,0.0625,False
lower+stem | TF | LogRegresija,0.6071,0.0423,0.0625,False
lower+stem | TF | LinearSVM,0.6067,0.0427,0.0625,False
lower | TFIDF_1-3 | MultinomialNB,0.6054,0.044,0.0625,False
lower+lema | TF | LogRegresija,0.6048,0.0446,0.0625,False
lower | TF | LogRegresija,0.5984,0.051,0.0625,False
lower | TF | LinearSVM,0.5928,0.0567,0.0625,False
lower | TF | Vecinski,0.1702,0.4793,0.0625,False
lower+stem | TF | Vecinski,0.1702,0.4793,0.0625,False
lower+lema | TF | Vecinski,0.1702,0.4793,0.0625,False
