Pocetak izvrsavanja: 2026-08-04T02:13:15+02:00
Uklonjeno 11 dupliranih tekstova.
Ucitano tekstova: 2908

Pokrecem: lower + BOW + MultinomialNB
  Fold  1/10: accuracy=0.5808, macro-F1=0.5817, najbolje={'classifier__alpha': 0.5}
  Fold  2/10: accuracy=0.5739, macro-F1=0.5731, najbolje={'classifier__alpha': 0.1}
  Fold  3/10: accuracy=0.6564, macro-F1=0.6565, najbolje={'classifier__alpha': 0.1}
  Fold  4/10: accuracy=0.5876, macro-F1=0.5865, najbolje={'classifier__alpha': 0.5}
  Fold  5/10: accuracy=0.5773, macro-F1=0.5776, najbolje={'classifier__alpha': 0.1}
  Fold  6/10: accuracy=0.6564, macro-F1=0.6559, najbolje={'classifier__alpha': 0.1}
  Fold  7/10: accuracy=0.6598, macro-F1=0.6591, najbolje={'classifier__alpha': 0.5}
  Fold  8/10: accuracy=0.6529, macro-F1=0.6514, najbolje={'classifier__alpha': 0.5}
  Fold  9/10: accuracy=0.6103, macro-F1=0.6102, najbolje={'classifier__alpha': 0.1}
  Fold 10/10: accuracy=0.6138, macro-F1=0.6130, najbolje={'classifier__alpha': 0.1}

Pokrecem: lower + BOW + LogisticRegression
  Fold  1/10: accuracy=0.5979, macro-F1=0.5978, najbolje={}
  Fold  2/10: accuracy=0.6048, macro-F1=0.6052, najbolje={}
  Fold  3/10: accuracy=0.6186, macro-F1=0.6186, najbolje={}
  Fold  4/10: accuracy=0.5670, macro-F1=0.5646, najbolje={}
  Fold  5/10: accuracy=0.5670, macro-F1=0.5662, najbolje={}
  Fold  6/10: accuracy=0.6392, macro-F1=0.6382, najbolje={}
  Fold  7/10: accuracy=0.6392, macro-F1=0.6391, najbolje={}
  Fold  8/10: accuracy=0.6323, macro-F1=0.6308, najbolje={}
  Fold  9/10: accuracy=0.6241, macro-F1=0.6229, najbolje={}
  Fold 10/10: accuracy=0.5966, macro-F1=0.5913, najbolje={}

Pokrecem: lower + BOW + LogisticRegression (GridSearch)
  Fold  1/10: accuracy=0.5911, macro-F1=0.5909, najbolje={'classifier__C': 0.1}
