konfiguracija_1,konfiguracija_2,macro_f1_1,macro_f1_2,razlika,p,p_holm,znacajno_p_holm_0.05
lower+stem | REC+CHAR | LinearSVM (GridSearch),lower+stem | REC+CHAR | LinearSVM,0.672213,0.670733,0.001480,0.820312,1.000000,False
lower+stem | REC+CHAR | LinearSVM (GridSearch),lower+stem | REC+CHAR | LogisticRegression,0.672213,0.670032,0.002181,0.625000,1.000000,False
lower+stem | REC+CHAR | LinearSVM (GridSearch),lower+lemma | REC+CHAR | LogisticRegression,0.672213,0.669994,0.002219,1.000000,1.000000,False
lower+stem | REC+CHAR | LinearSVM (GridSearch),lower+stem | REC+CHAR | LogisticRegression (GridSearch),0.672213,0.669214,0.002999,0.492188,1.000000,False
lower+stem | REC+CHAR | LinearSVM (GridSearch),lower+lemma | REC+CHAR | LogisticRegression (GridSearch),0.672213,0.668921,0.003292,0.769531,1.000000,False
lower+stem | REC+CHAR | LinearSVM (GridSearch),lower+stem | TFIDF_1-2 | LinearSVM,0.672213,0.668037,0.004176,0.322266,1.000000,False
lower+stem | REC+CHAR | LinearSVM (GridSearch),lower+lemma | REC+CHAR | LinearSVM (GridSearch),0.672213,0.666914,0.005299,0.431641,1.000000,False
lower+stem | REC+CHAR | LinearSVM (GridSearch),lower | REC+CHAR | LogisticRegression,0.672213,0.666398,0.005814,0.064453,1.000000,False
lower+stem | REC+CHAR | LinearSVM (GridSearch),lower | CHAR_3-5 | LogisticRegression (GridSearch),0.672213,0.666141,0.006071,0.431641,1.000000,False
lower+stem | REC+CHAR | LinearSVM (GridSearch),lower | CHAR_3-5 | LogisticRegression,0.672213,0.665365,0.006848,0.322266,1.000000,False
lower+stem | REC+CHAR | LinearSVM (GridSearch),lower | REC+CHAR | LinearSVM (GridSearch),0.672213,0.665074,0.007139,0.105469,1.000000,False
lower+stem | REC+CHAR | LinearSVM (GridSearch),lower+stem | TFIDF_1-2 | LinearSVM (GridSearch),0.672213,0.664940,0.007272,0.105469,1.000000,False
lower+stem | REC+CHAR | LinearSVM (GridSearch),lower | CHAR_3-5 | LinearSVM,0.672213,0.664576,0.007637,0.193359,1.000000,False
lower+stem | REC+CHAR | LinearSVM (GridSearch),lower | REC+CHAR | LogisticRegression (GridSearch),0.672213,0.662509,0.009704,0.048828,1.000000,False
lower+stem | REC+CHAR | LinearSVM (GridSearch),lower+stem | TFIDF_1-2 | LogisticRegression (GridSearch),0.672213,0.662126,0.010087,0.005859,1.000000,False
lower+stem | REC+CHAR | LinearSVM (GridSearch),lower+stem | TFIDF_1-2 | LogisticRegression,0.672213,0.660655,0.011558,0.083984,1.000000,False
lower+stem | REC+CHAR | LinearSVM (GridSearch),lower+stem | CHAR_3-5 | LogisticRegression,0.672213,0.657710,0.014503,0.037109,1.000000,False
lower+stem | REC+CHAR | LinearSVM (GridSearch),lower+stem | CHAR_3-5 | LogisticRegression (GridSearch),0.672213,0.657710,0.014503,0.037109,1.000000,False
lower+stem | REC+CHAR | LinearSVM (GridSearch),lower | REC+CHAR | LinearSVM,0.672213,0.657623,0.014590,0.013672,1.000000,False
lower+stem | REC+CHAR | LinearSVM (GridSearch),lower+lemma | TFIDF_1-2 | LogisticRegression (GridSearch),0.672213,0.656711,0.015502,0.027344,1.000000,False
lower+stem | REC+CHAR | LinearSVM (GridSearch),lower+lemma | CHAR_3-5 | LogisticRegression,0.672213,0.656452,0.015761,0.027344,1.000000,False
lower+stem | REC+CHAR | LinearSVM (GridSearch),lower+lemma | CHAR_3-5 | LogisticRegression (GridSearch),0.672213,0.656452,0.015761,0.027344,1.000000,False
lower+stem | REC+CHAR | LinearSVM (GridSearch),lower+lemma | REC+CHAR | LinearSVM,0.672213,0.656409,0.015804,0.019531,1.000000,False
lower+stem | REC+CHAR | LinearSVM (GridSearch),lower | CHAR_3-5 | LinearSVM (GridSearch),0.672213,0.656392,0.015821,0.005859,1.000000,False
lower+stem | REC+CHAR | LinearSVM (GridSearch),lower+lemma | TFIDF_1-2 | LinearSVM (GridSearch),0.672213,0.656147,0.016066,0.013672,1.000000,False
lower+stem | REC+CHAR | LinearSVM (GridSearch),lower+lemma | CHAR_3-5 | LinearSVM (GridSearch),0.672213,0.655984,0.016229,0.003906,1.000000,False
lower+stem | REC+CHAR | LinearSVM (GridSearch),lower+lemma | TFIDF_1-2 | LinearSVM,0.672213,0.655801,0.016412,0.013672,1.000000,False
lower+stem | REC+CHAR | LinearSVM (GridSearch),lower+lemma | CHAR_3-5 | LinearSVM,0.672213,0.654648,0.017565,0.001953,1.000000,False
lower+stem | REC+CHAR | LinearSVM (GridSearch),lower+stem | TFIDF_1-3 | LogisticRegression,0.672213,0.652901,0.019312,0.019531,1.000000,False
lower+stem | REC+CHAR | LinearSVM (GridSearch),lower+lemma | TFIDF_1-2 | LogisticRegression,0.672213,0.652605,0.019608,0.037109,1.000000,False
lower+stem | REC+CHAR | LinearSVM (GridSearch),lower+stem | CHAR_3-5 | LinearSVM (GridSearch),0.672213,0.652396,0.019817,0.019531,1.000000,False
lower+stem | REC+CHAR | LinearSVM (GridSearch),lower+stem | TFIDF_1-3 | LinearSVM,0.672213,0.651701,0.020512,0.001953,1.000000,False
lower+stem | REC+CHAR | LinearSVM (GridSearch),lower+stem | CHAR_3-5 | LinearSVM,0.672213,0.649960,0.022253,0.013672,1.000000,False
lower+stem | REC+CHAR | LinearSVM (GridSearch),lower+stem | TFIDF_1-3 | LinearSVM (GridSearch),0.672213,0.648598,0.023615,0.005859,1.000000,False
lower+stem | REC+CHAR | LinearSVM (GridSearch),lower+lemma | TFIDF_1-3 | LogisticRegression,0.672213,0.648503,0.023710,0.009766,1.000000,False
lower+stem | REC+CHAR | LinearSVM (GridSearch),lower+lemma | TFIDF_1-3 | LinearSVM,0.672213,0.647667,0.024546,0.001953,1.000000,False
