konfiguracija,model,odlika,cv_accuracy_sr,cv_accuracy_std,cv_f1_sr,cv_f1_std,vreme_s
LogRegresija (GridSearch) + REC+CHAR,LogRegresija (GridSearch),REC+CHAR,0.6619662745237208,0.005643616727362236,0.6603969541149495,0.0055196354936127385,184.5
LogRegresija (GridSearch) + CHAR_3-5,LogRegresija (GridSearch),CHAR_3-5,0.65474918821087,0.005124025729505517,0.6533792282099633,0.004454605098911872,198.6
LogRegresija (GridSearch) + TFIDF,LogRegresija (GridSearch),TFIDF,0.6255212307255531,0.015036369659591967,0.6241652892409031,0.01505042938467034,26.3
LogRegresija (GridSearch) + TFIDF_1-2,LogRegresija (GridSearch),TFIDF_1-2,0.6251805454513193,0.011886509287337099,0.6238228831161714,0.011146469310000117,56.2
LinearSVM (GridSearch) + REC+CHAR,LinearSVM (GridSearch),REC+CHAR,0.6245068639802213,0.0528974952035066,0.6237373661431683,0.05253574208404046,137.4
LogRegresija + CHAR_3-5,LogRegresija,CHAR_3-5,0.6245301576016116,0.06317343406652874,0.6214295762790722,0.06497250397104787,22.2
LogRegresija + REC+CHAR,LogRegresija,REC+CHAR,0.6231615120274914,0.06075266340549623,0.6204023704182733,0.06247353618011215,36.7
LogRegresija (GridSearch) + IDF,LogRegresija (GridSearch),IDF,0.6200158513287317,0.01581495429677326,0.6183305539216224,0.015540449251903444,25.6
LinearSVM + REC+CHAR,LinearSVM,REC+CHAR,0.6172850459274505,0.04845143487459629,0.616861523091569,0.04846435071830008,17.9
LogRegresija (GridSearch) + TFIDF_1-3,LogRegresija (GridSearch),TFIDF_1-3,0.6169266166285171,0.009927514871470419,0.6153265829345383,0.009763204432673924,61.4
LinearSVM (GridSearch) + CHAR_3-5,LinearSVM (GridSearch),CHAR_3-5,0.6083450148162606,0.053453594805735874,0.6076024288782599,0.05294303164062956,151.3
LinearSVM + CHAR_3-5,LinearSVM,CHAR_3-5,0.605252231311106,0.052110206537745535,0.604767010210151,0.05168620087244834,14.7
LogRegresija (GridSearch) + TF,LogRegresija (GridSearch),TF,0.5997391628369148,0.019505216663877636,0.5982998477222673,0.019010647701887023,36.8
LogRegresija + TFIDF_1-2,LogRegresija,TFIDF_1-2,0.5966690366157128,0.055723340564697826,0.5932084230591648,0.05666843419010709,5.9
LogRegresija + IDF,LogRegresija,IDF,0.5970221590235809,0.06343672455113121,0.5927735579594985,0.06535579617191568,2.8
LogRegresija + TFIDF,LogRegresija,TFIDF,0.5952980210925465,0.06155351107814234,0.5915231919691093,0.06286950221423866,2.5
MultinomialNB + REC+CHAR,MultinomialNB,REC+CHAR,0.5932361654224433,0.05335671297340076,0.5887082382747918,0.057283332425945306,34.4
LogRegresija + TFIDF_1-3,LogRegresija,TFIDF_1-3,0.591860410001185,0.05479152504054801,0.5886620671125538,0.05543817540168871,6.7
MultinomialNB + CHAR_3-5,MultinomialNB,CHAR_3-5,0.5891112691077142,0.05696613311214942,0.5847450164789258,0.061731874057598286,16.4
LinearSVM + TFIDF_1-2,LinearSVM,TFIDF_1-2,0.5849613475995292,0.04731113765787403,0.5840023791337696,0.04710525806345827,3.6
LinearSVM (GridSearch) + IDF,LinearSVM (GridSearch),IDF,0.5873674373488063,0.050018927658208236,0.5829690469370928,0.04924451044659927,11.2
MultinomialNB + TFIDF_1-2,MultinomialNB,TFIDF_1-2,0.5856629932456452,0.04832946344718444,0.5826353903019478,0.05118876339567478,4.3
MultinomialNB + TFIDF_1-3,MultinomialNB,TFIDF_1-3,0.5867010309278351,0.04828189652506183,0.5824110724188352,0.05199225001011428,5.1
LinearSVM (GridSearch) + TFIDF_1-3,LinearSVM (GridSearch),TFIDF_1-3,0.5829018577993862,0.05168835635616836,0.5794925309527812,0.05135544840388335,52.6
MultinomialNB + IDF,MultinomialNB,IDF,0.584293162697002,0.055335140201813494,0.5793785309486693,0.058686099576204104,3.6
LinearSVM (GridSearch) + TFIDF,LinearSVM (GridSearch),TFIDF,0.5828923943195463,0.042310232587029394,0.5790486165107206,0.040804050893767804,8.6
LinearSVM (GridSearch) + TFIDF_1-2,LinearSVM (GridSearch),TFIDF_1-2,0.5825570322527222,0.047214782470975165,0.5789105980373376,0.0463933000465541,23.1
LinearSVM + TFIDF_1-3,LinearSVM,TFIDF_1-3,0.5798090742942315,0.04753703687327299,0.5786693184703271,0.04707752049046657,3.1
MultinomialNB + TFIDF,MultinomialNB,TFIDF,0.5836058774736343,0.05494038636798085,0.5785091397311107,0.05787753139460187,1.8
MultinomialNB + TF,MultinomialNB,TF,0.5780993008650314,0.05528690204629881,0.5755291529801385,0.0569439402015942,7.3
LinearSVM + IDF,LinearSVM,IDF,0.5760124444759894,0.036002450871000666,0.5750088154077341,0.03528535554583009,1.7
LinearSVM + TFIDF,LinearSVM,TFIDF,0.570166971272424,0.03993385847456642,0.569503611842207,0.03946243519860825,1.2
LogRegresija + TF,LogRegresija,TF,0.5639957340917171,0.04666578564534849,0.5622562940265567,0.04677846551134347,9.1
LinearSVM (GridSearch) + TF,LinearSVM (GridSearch),TF,0.5351053699333417,0.05133636348677432,0.5340275798884273,0.050649702673397336,15.1
LinearSVM + TF,LinearSVM,TF,0.5240922452697387,0.04045146202015328,0.5231194528968158,0.039930270084953846,7.1
