konfiguracija,pretprocesiranje,model,odlika,cv_accuracy_sr,cv_accuracy_std,cv_f1_sr,cv_f1_std,vreme_s
lower+stem | REC+CHAR | LogRegresija,lower+stem,LogRegresija,REC+CHAR,0.6753726744874985,0.026430151639442862,0.6742404790951386,0.027157756080342828,113.9
lower+stem | REC+CHAR | LogRegresija (GridSearch),lower+stem,LogRegresija (GridSearch),REC+CHAR,0.6722798909823439,0.025578731735927552,0.6713956559728615,0.026269640973581823,613.6
lower+lema | REC+CHAR | LinearSVM (GridSearch),lower+lema,LinearSVM (GridSearch),REC+CHAR,0.6716020855551607,0.014944107600230178,0.6703163525756006,0.01564670663698849,619.3
lower | REC+CHAR | LogRegresija,lower,LogRegresija,REC+CHAR,0.6712465931982462,0.025332214103309648,0.6702589750124547,0.02618749881914859,119.1
lower+lema | REC+CHAR | LogRegresija (GridSearch),lower+lema,LogRegresija (GridSearch),REC+CHAR,0.6712525180708615,0.02003782878730509,0.6700035359412572,0.02087011185625125,670.6
lower+lema | REC+CHAR | LogRegresija,lower+lema,LogRegresija,REC+CHAR,0.6709088754591777,0.020084008009503527,0.6696831862826054,0.020895919424148722,131.8
lower+stem | REC+CHAR | LinearSVM (GridSearch),lower+stem,LinearSVM (GridSearch),REC+CHAR,0.6705581230003556,0.023326482902974885,0.6693045629530664,0.02423874814660808,575.7
lower | REC+CHAR | LinearSVM (GridSearch),lower,LinearSVM (GridSearch),REC+CHAR,0.6702227752103329,0.02643286439658562,0.6688259066881171,0.026931693105985335,671.5
lower | REC+CHAR | LogRegresija (GridSearch),lower,LogRegresija (GridSearch),REC+CHAR,0.6681538096930916,0.028260410297277553,0.6671425795453649,0.028942934071347275,718.4
lower | CHAR_3-5 | LinearSVM,lower,LinearSVM,CHAR_3-5,0.6671145870363787,0.024342160599719654,0.6660636988667685,0.02513180742290999,81.1
lower | CHAR_3-5 | LogRegresija (GridSearch),lower,LogRegresija (GridSearch),CHAR_3-5,0.6653975589524825,0.01814531831611189,0.6639244286240087,0.018801892804975635,582.3
lower | CHAR_3-5 | LogRegresija,lower,LogRegresija,CHAR_3-5,0.6650574712643679,0.01995249235975717,0.6634539629945628,0.02082115518676025,93.9
lower+stem | REC+CHAR | LinearSVM,lower+stem,LinearSVM,REC+CHAR,0.6640312833274085,0.027312300489962082,0.6634340972881698,0.027543933525168728,94.4
lower+stem | CHAR_3-5 | LogRegresija,lower+stem,LogRegresija,CHAR_3-5,0.6626484180590119,0.01963845549951855,0.6614206702343315,0.01981523973795963,84.3
lower+stem | TFIDF_1-2 | LinearSVM,lower+stem,LinearSVM,TFIDF_1-2,0.6619670577082594,0.034706228916328664,0.6613912395900643,0.03501585246954124,13.4
lower+stem | TFIDF_1-2 | LogRegresija (GridSearch),lower+stem,LogRegresija (GridSearch),TFIDF_1-2,0.6612809574594147,0.033093735985739454,0.6600130457163924,0.0336877737198595,98.6
lower+lema | REC+CHAR | LinearSVM,lower+lema,LinearSVM,REC+CHAR,0.6605924872615239,0.024573126254728305,0.6598181760324836,0.02460767338703004,110.3
lower | REC+CHAR | LinearSVM,lower,LinearSVM,REC+CHAR,0.6605806375162934,0.031359270734693384,0.6596552919806887,0.03220559365577965,100.2
lower | CHAR_3-5 | LinearSVM (GridSearch),lower,LinearSVM (GridSearch),CHAR_3-5,0.6605853774143856,0.016821738061369485,0.6589130805190498,0.017224516726384437,547.4
lower+stem | TFIDF_1-2 | LogRegresija,lower+stem,LogRegresija,TFIDF_1-2,0.6595710392226568,0.031755002365169836,0.6578034308951118,0.032436015765600186,20.3
lower+stem | CHAR_3-5 | LogRegresija (GridSearch),lower+stem,LogRegresija (GridSearch),CHAR_3-5,0.6588624244578741,0.02042331019681472,0.6578025723017102,0.020885587255273393,510.1
lower+lema | CHAR_3-5 | LinearSVM (GridSearch),lower+lema,LinearSVM (GridSearch),CHAR_3-5,0.6592155468657424,0.019604120381935056,0.657439201926042,0.02002961871370443,541.7
lower+lema | TFIDF_1-2 | LinearSVM (GridSearch),lower+lema,LinearSVM (GridSearch),TFIDF_1-2,0.65784216139353,0.027006150188313177,0.6568531023652346,0.02755082406419351,103.8
lower+stem | TFIDF_1-2 | LinearSVM (GridSearch),lower+stem,LinearSVM (GridSearch),TFIDF_1-2,0.6574997037563692,0.033574152396782055,0.6563627990428552,0.03453827087977228,82.6
lower+lema | CHAR_3-5 | LinearSVM,lower+lema,LinearSVM,CHAR_3-5,0.6574949638582771,0.01935910108482785,0.6562366871030747,0.020087040565431955,90.7
lower+lema | CHAR_3-5 | LogRegresija,lower+lema,LogRegresija,CHAR_3-5,0.6574949638582771,0.014564909377362335,0.6558532427379878,0.015110716680538542,101.8
lower+lema | CHAR_3-5 | LogRegresija (GridSearch),lower+lema,LogRegresija (GridSearch),CHAR_3-5,0.6574949638582771,0.014564909377362335,0.6558532427379878,0.015110716680538542,572.9
lower+lema | TFIDF_1-2 | LinearSVM,lower+lema,LinearSVM,TFIDF_1-2,0.6564675909467946,0.026959245996181724,0.6558081716679645,0.027182416441842182,17.5
lower+lema | TFIDF_1-2 | LogRegresija (GridSearch),lower+lema,LogRegresija (GridSearch),TFIDF_1-2,0.6554437729588813,0.029680864923227437,0.6546653137636866,0.029840342056094794,128.1
lower+lema | TFIDF_1-2 | LogRegresija,lower+lema,LogRegresija,TFIDF_1-2,0.6537350396966464,0.02660569443651166,0.6526210582078807,0.02685526966567968,26.5
lower+stem | CHAR_3-5 | LinearSVM (GridSearch),lower+stem,LinearSVM (GridSearch),CHAR_3-5,0.6533653276454555,0.020278023629883863,0.652167699828156,0.020517349702662238,473.1
lower+stem | TFIDF_1-3 | LogRegresija,lower+stem,LogRegresija,TFIDF_1-3,0.6516589643322668,0.021876215969630696,0.6499110106577454,0.022565415011522497,26.8
lower+stem | TFIDF_1-3 | LinearSVM,lower+stem,LinearSVM,TFIDF_1-3,0.6488991586680886,0.03048715441163108,0.6484458682138671,0.03095504017760683,21.1
lower+lema | TFIDF_1-3 | LogRegresija,lower+lema,LogRegresija,TFIDF_1-3,0.6496018485602558,0.022079202922207365,0.6483763220381048,0.022418381300974306,33.9
lower+stem | TFIDF_1-3 | LinearSVM (GridSearch),lower+stem,LinearSVM (GridSearch),TFIDF_1-3,0.6495864438914563,0.02760635286219868,0.6483361126327657,0.02885201207890866,125.9
lower+lema | TFIDF_1-3 | LinearSVM,lower+lema,LinearSVM,TFIDF_1-3,0.6492404313307263,0.0309992851177338,0.6483360259912487,0.03170314994127188,26.6
