model,epohe,macroF1_sr,macroF1_std,tacnost
classla/bcms-bertic,1,0.7802911930201455,0.025575882190422766,0.782668500687758
classla/bcms-bertic,2,0.8075535109094425,0.021718458394531955,0.8081155433287482
classla/bcms-bertic,3,0.8142755432631418,0.016436631329516345,0.8153370013755158
classla/bcms-bertic,4,0.826771282162755,0.019147096835821928,0.8263411279229711
classla/bcms-bertic,5,0.8276708272020035,0.02241331481355574,0.8277166437414031
xlm-roberta-base,1,0.6582039544518069,0.05764675767004476,0.6629986244841816
xlm-roberta-base,2,0.7636359282308275,0.018456149086196538,0.765130674002751
xlm-roberta-base,3,0.7696099369710563,0.019136658595429453,0.7730398899587345
xlm-roberta-base,4,0.7937649551625833,0.021597013478140505,0.7947042640990372
xlm-roberta-base,5,0.7958304364746922,0.027536755051794762,0.796767537826685
bert-base-multilingual-cased,1,0.5994309236437172,0.050272525006103685,0.6069463548830811
bert-base-multilingual-cased,2,0.6775978743581299,0.0249510609882736,0.6815680880330124
bert-base-multilingual-cased,3,0.6938087371185859,0.022425397386808002,0.6949793672627235
bert-base-multilingual-cased,4,0.7029968145609456,0.02117453140761709,0.703920220082531
bert-base-multilingual-cased,5,0.7025017057613518,0.024077213143434698,0.7028885832187071
