pretprocesiranje,odlike,model,cv_macroF1_sr,cv_macroF1_std,hiperparametri,vreme_s
lower,REC+CHAR,LinearSVM,0.6737453299855405,0.028404859383154665,"{""clf__C"": 0.1}",198.0
lower+stem,REC+CHAR,LinearSVM,0.6731741424792925,0.022626134729920217,"{""clf__C"": 0.1}",104.6
lower,REC+CHAR,LogRegresija,0.6716471965221447,0.028038456119389422,"{""clf__C"": 10}",121.6
lower+lema,REC+CHAR,LogRegresija,0.6705905513648482,0.02800733626500981,"{""clf__C"": 10}",121.3
lower+lema,REC+CHAR,LinearSVM,0.6704155669447909,0.02339469510119423,"{""clf__C"": 1}",180.1
lower+stem,REC+CHAR,LogRegresija,0.6703206244205822,0.02461927210223965,"{""clf__C"": 1}",95.1
lower+lema,TFIDF_1-2,LinearSVM,0.6685057823556819,0.025007912198493562,"{""clf__C"": 1}",17.1
lower+lema,TFIDF_1-2,LogRegresija,0.6672363991069099,0.019828504375701016,"{""clf__C"": 10}",15.8
lower+lema,TFIDF_1-3,LogRegresija,0.6662018916830553,0.022867822569904547,"{""clf__C"": 10}",26.3
lower,CHAR_3-5,LogRegresija,0.662247601046394,0.024421142438407307,"{""clf__C"": 10}",61.3
lower,CHAR_3-5,LinearSVM,0.6610558531208105,0.023206283400413055,"{""clf__C"": 1}",127.6
lower+lema,TFIDF_1-3,LinearSVM,0.6601681698436414,0.020249682460794297,"{""clf__C"": 1}",32.9
lower+stem,CHAR_3-5,LogRegresija,0.6584374558825596,0.019787298562402415,"{""clf__C"": 1}",87.0
lower+stem,IDF,LogRegresija,0.6583247834377076,0.02383872716301057,"{""clf__C"": 1}",6.6
lower+stem,TFIDF_1-2,LinearSVM,0.6555831596723614,0.025908500401011378,"{""clf__C"": 1}",24.1
lower+stem,TFIDF_1-3,LogRegresija,0.6547329019341903,0.02494634580556199,"{""clf__C"": 1}",25.1
lower+lema,TFIDF,LogRegresija,0.6542794909511246,0.0214401018486413,"{""clf__C"": 1}",5.0
lower+stem,TFIDF_1-3,LinearSVM,0.6532113333041056,0.03194248354026459,"{""clf__C"": 1}",38.4
lower+lema,CHAR_3-5,LinearSVM,0.6525750876879686,0.022914733038413706,"{""clf__C"": 1}",97.3
lower+lema,CHAR_3-5,LogRegresija,0.6524276704374549,0.022145517625290656,"{""clf__C"": 10}",37.9
lower+stem,TFIDF_1-2,LogRegresija,0.6519411243815052,0.02734720505070195,"{""clf__C"": 100}",20.2
lower+lema,IDF,LogRegresija,0.6511271606305102,0.017212191674790663,"{""clf__C"": 1}",7.0
lower+stem,IDF,LinearSVM,0.6506714065455637,0.02294130089322322,"{""clf__C"": 0.1}",9.4
lower+stem,CHAR_3-5,LinearSVM,0.650095176465208,0.018360757426215204,"{""clf__C"": 0.1}",106.0
lower+stem,TFIDF,LogRegresija,0.6496054059408201,0.023826554469949624,"{""clf__C"": 1}",8.4
lower+lema,TFIDF,LinearSVM,0.6470263086186747,0.02182584328134653,"{""clf__C"": 1}",7.6
