konfiguracija,cv_macroF1,razlika,p_vrednost,znacajno_p<0.05
lower+stem | REC+CHAR | LinearSVM,0.6732,0.0006,0.8457,False
lower | REC+CHAR | LogRegresija,0.6716,0.0021,0.8457,False
lower+lema | REC+CHAR | LogRegresija,0.6706,0.0032,0.6953,False
lower+lema | REC+CHAR | LinearSVM,0.6704,0.0033,0.6953,False
lower+stem | REC+CHAR | LogRegresija,0.6703,0.0034,0.4922,False
lower+lema | TFIDF_1-2 | LinearSVM,0.6685,0.0052,0.5566,False
lower+lema | TFIDF_1-2 | LogRegresija,0.6672,0.0065,0.3223,False
lower+lema | TFIDF_1-3 | LogRegresija,0.6662,0.0075,0.2324,False
lower | CHAR_3-5 | LogRegresija,0.6622,0.0115,0.1309,False
lower | CHAR_3-5 | LinearSVM,0.6611,0.0127,0.0195,True
lower+lema | TFIDF_1-3 | LinearSVM,0.6602,0.0136,0.1309,False
lower+stem | CHAR_3-5 | LogRegresija,0.6584,0.0153,0.002,True
lower+stem | IDF | LogRegresija,0.6583,0.0154,0.0371,True
lower+stem | TFIDF_1-2 | LinearSVM,0.6556,0.0182,0.0273,True
lower+stem | TFIDF_1-3 | LogRegresija,0.6547,0.019,0.0137,True
lower+lema | TFIDF | LogRegresija,0.6543,0.0195,0.0488,True
lower+stem | TFIDF_1-3 | LinearSVM,0.6532,0.0205,0.1309,False
lower+lema | CHAR_3-5 | LinearSVM,0.6526,0.0212,0.0195,True
lower+lema | CHAR_3-5 | LogRegresija,0.6524,0.0213,0.0059,True
lower+stem | TFIDF_1-2 | LogRegresija,0.6519,0.0218,0.0098,True
lower+lema | IDF | LogRegresija,0.6511,0.0226,0.0098,True
lower+stem | IDF | LinearSVM,0.6507,0.0231,0.002,True
lower+stem | CHAR_3-5 | LinearSVM,0.6501,0.0237,0.002,True
lower+stem | TFIDF | LogRegresija,0.6496,0.0241,0.002,True
lower+lema | TFIDF | LinearSVM,0.647,0.0267,0.0039,True
lower+stem | TFIDF_1-2 | MultinomialNB,0.6464,0.0273,0.0371,True
lower+stem | TFIDF | LinearSVM,0.6431,0.0306,0.0039,True
lower+lema | IDF | LinearSVM,0.643,0.0307,0.0039,True
lower | TFIDF_1-2 | LogRegresija,0.6429,0.0308,0.002,True
lower | REC+CHAR | MultinomialNB,0.6413,0.0324,0.0039,True
lower+lema | TFIDF_1-3 | MultinomialNB,0.6396,0.0342,0.0137,True
lower+lema | TFIDF_1-2 | MultinomialNB,0.6389,0.0348,0.0195,True
lower+stem | REC+CHAR | MultinomialNB,0.6389,0.0349,0.0098,True
lower+lema | REC+CHAR | MultinomialNB,0.6364,0.0374,0.0137,True
lower | TFIDF_1-2 | LinearSVM,0.6362,0.0376,0.002,True
lower | TFIDF_1-3 | LogRegresija,0.6351,0.0386,0.002,True
lower | TFIDF | LogRegresija,0.6346,0.0391,0.002,True
lower | TFIDF_1-2 | MultinomialNB,0.6333,0.0404,0.002,True
lower+stem | TFIDF_1-3 | MultinomialNB,0.6327,0.041,0.0098,True
lower | IDF | LogRegresija,0.6301,0.0436,0.002,True
lower | IDF | LinearSVM,0.6295,0.0442,0.002,True
lower | TFIDF | LinearSVM,0.6293,0.0444,0.002,True
lower+stem | IDF | MultinomialNB,0.6293,0.0445,0.002,True
lower+stem | TFIDF | MultinomialNB,0.6287,0.045,0.002,True
lower | TFIDF_1-3 | LinearSVM,0.6286,0.0452,0.002,True
lower+lema | TF | LinearSVM,0.6275,0.0462,0.002,True
lower+lema | IDF | MultinomialNB,0.6273,0.0464,0.002,True
lower+stem | TF | LogRegresija,0.6263,0.0475,0.002,True
lower+lema | TF | LogRegresija,0.6255,0.0482,0.0039,True
lower+lema | TFIDF | MultinomialNB,0.6254,0.0484,0.002,True
lower+stem | TF | LinearSVM,0.6253,0.0484,0.002,True
lower | CHAR_3-5 | MultinomialNB,0.6252,0.0485,0.002,True
lower | TFIDF_1-3 | MultinomialNB,0.6252,0.0486,0.002,True
lower | TFIDF | MultinomialNB,0.6223,0.0514,0.002,True
lower | IDF | MultinomialNB,0.6217,0.052,0.002,True
lower | TF | MultinomialNB,0.6203,0.0535,0.002,True
lower+stem | TF | MultinomialNB,0.6194,0.0544,0.002,True
lower+stem | CHAR_3-5 | MultinomialNB,0.6192,0.0546,0.002,True
lower+lema | CHAR_3-5 | MultinomialNB,0.615,0.0588,0.002,True
lower+lema | TF | MultinomialNB,0.6149,0.0589,0.002,True
lower | TF | LogRegresija,0.6126,0.0612,0.002,True
lower | TF | LinearSVM,0.6096,0.0641,0.002,True
lower | TF | Vecinski,0.1702,0.5035,0.002,True
lower+stem | TF | Vecinski,0.1702,0.5035,0.002,True
lower+lema | TF | Vecinski,0.1702,0.5035,0.002,True
